Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
cevre muhendisligi,2,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,Null,Null
hukuk,1,2.5-3.0,Null,Null
endustri muhendisligi(ingilizce),3,0.0-2.5,Null,Null
hukuk(ikinci ogretim),3,0.0-2.5,Null,Null
rehberlik ve psikolojik danismanlik,4,2.5-3.0,Null,Null
isletme,2,0.0-2.5,Null,Null
iktisat(bandirma)(ikinci ogretim),3,0.0-2.5,Null,Null
sinif ogretmenligi,3,3.0-3.5,Null,Null
ekonometri(ikinci ogretim),2,0.0-2.5,Null,Null
ilkogretim matematik ogretmenligi,1,0.0-2.5,Null,Null
halkla iliskiler ve tanitim,2,0.0-2.5,Null,Null
endustri muhendisligi(ingilizce)(ikinci ogretim),2,0.0-2.5,Null,Null
cocuk gelisimi (fakulte),2,0.0-2.5,Null,Null
metalurji ve malzeme muhendisligi,4,3.0-3.5,Null,Null
iktisat(ingilizce),4,2.5-3.0,Null,Null
rehberlik ve psikolojik danismanlik,4,3.0-3.5,Null,Null
isletme,1,2.5-3.0,Null,Null
iktisat(ikinci ogretim),2,0.0-2.5,Null,Null
siyaset bilimi ve kamu yonetimi,1,2.5-3.0,Null,Null
uluslararasi iliskiler,2,3.0-4.0,Null,Null
rehberlik ve psikolojik danismanlik,3,2.5-3.0,Null,Null
psikoloji,2,3.0-3.5,Null,Null
kimya muhendisligi,2,2.5-3.0,Null,Null
ilahiyat(ikinci ogretim),2,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce),1,Null,Null,Null
okul oncesi ogretmenligi,4,3.0-3.5,Null,Null
zihin engelliler ogretmenligi(tam burslu),4,2.5-3.0,Null,Null
hemsirelik (yuksekokul),2,3.0-3.5,Null,Null
felsefe,1,Null,Null,Null
diger,2,3.0-3.5,Null,Null
orman muhendisligi,3,0.0-2.5,Null,Null
iktisat,3,0.0-2.5,Null,Null
ilkogretim matematik ogretmenligi,1,2.5-3.0,Null,Null
tip,4,3.0-3.5,Null,Null
siyaset bilimi ve uluslararasi iliskiler(ingilizce),5,0.0-2.5,Null,Null
makine muhendisligi (teknoloji fakultesi)(ikinci ogretim),2,2.5-3.0,Null,Null
isletme(ikinci ogretim),4,2.5-3.0,Null,Null
orman muhendisligi,2,3.0-3.5,Null,Null
isletme(ikinci ogretim),1,Null,Null,Null
iktisat,3,2.5-3.0,Null,Null
eczacilik,3,0.0-2.5,Null,Null
ilkogretim matematik ogretmenligi,4,2.5-3.0,Null,Null
siyaset bilimi ve kamu yonetimi(ingilizce),2,2.5-3.0,Null,Null
hemsirelik (yuksekokul),1,2.5-3.0,Null,Null
bilgisayar muhendisligi,3,0.0-2.5,Null,Null
insaat muhendisligi(ingilizce),2,2.5-3.0,Null,Null
sosyal bilgiler ogretmenligi,2,0.0-2.5,Null,Null
rehberlik ve psikolojik danismanlik,3,2.5-3.0,Null,Null
rehberlik ve psikolojik danismanlik,3,2.5-3.0,Null,Null
ingiliz dili ve edebiyati(ikinci ogretim),3,0.0-2.5,Null,Null
diger,2,2.5-3.0,Null,Null
isletme,hazirlik,Null,Null,Null
insaat muhendisligi,3,2.5-3.0,Null,Null
ilahiyat,3,3.0-3.5,Null,Null
ekonometri,3,0.0-2.5,Null,Null
isletme,2,0.0-2.5,Null,Null
iktisat,3,0.0-2.5,Null,Null
ilahiyat,hazirlik,Null,Null,Null
hemsirelik (fakulte),2,3.0-3.5,Null,Null
hukuk,2,2.5-3.0,Null,Null
isletme(ingilizce),2,2.5-3.0,Null,Null
yonetim bilisim sistemleri (fakulte)(ikinci ogretim),2,0.0-2.5,Null,Null
fransiz dili ve edebiyati,1,Null,Null,Null
makine muhendisligi,3,2.5-3.0,Null,Null
psikoloji,3,3.0-3.5,Null,Null
eczacilik,4,2.5-3.0,Null,Null
psikoloji,3,3.0-3.5,Null,Null
halkla iliskiler ve tanitim(ingilizce),4,3.0-4.0,Null,Null
maliye,1,0.0-2.5,Null,Null
isletme bilgi yonetimi (yuksekokul),3,3.0-3.5,Null,Null
tip(ingilizce),4,2.5-3.0,Null,Null
diger,1,2.5-3.0,Null,Null
hukuk(ikinci ogretim),3,2.5-3.0,Null,Null
geomatik muhendisligi,3,0.0-2.5,Null,Null
ekonomi ve finans,2,0.0-2.5,Null,Null
endustri muhendisligi,2,0.0-2.5,Null,Null
hemsirelik ve saglik hizmetleri,1,2.5-3.0,Null,Null
bilgi ve belge yonetimi,2,2.5-3.0,Null,Null
ilahiyat,3,2.5-3.0,Null,Null
makine muhendisligi,hazirlik,Null,Null,Null
ozel egitim ogretmenligi,4,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi,2,0.0-2.5,Null,Null
Null,Null,Null,Null,Null
siyaset bilimi ve kamu yonetimi,3,0.0-2.5,Null,Null
endustri muhendisligi,3,0.0-2.5,Null,Null
hukuk,2,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler,3,3.0-4.0,Null,Null
iktisat,4,0.0-2.5,Null,Null
bilgisayar ve ogretim teknolojileri ogretmenligi,1,Null,Null,Null
isletme(turkce),1,3.0-3.5,Null,Null
insaat muhendisligi,2,0.0-2.5,Null,Null
isletme(ingilizce),4,3.0-3.5,Null,Null
isletme(isletme fakultesi),4,2.5-3.0,Null,Null
mimarlik,2,3.0-3.5,Null,Null
makine muhendisligi,2,2.5-3.0,Null,Null
nukleer enerji muhendisligi(ingilizce),5,2.5-3.0,Null,Null
makine muhendisligi(ikinci ogretim),3,0.0-2.5,Null,Null
tip,4,0.0-2.5,Null,Null
sanat tarihi(ikinci ogretim),3,2.5-3.0,Null,Null
ilahiyat(ingilizce),2,3.0-4.0,Null,Null
elektrik-elektronik muhendisligi,2,0.0-2.5,Null,Null
ilkogretim matematik ogretmenligi,2,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi(ikinci ogretim),1,0.0-2.5,Null,Null
maden muhendisligi,3,0.0-2.5,Null,Null
tip(tayfur ata sokmen),2,3.0-3.5,Null,Null
makine muhendisligi(ikinci ogretim),3,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,Null,Null
sosyal bilgiler ogretmenligi,3,0.0-2.5,Null,Null
rehberlik ve psikolojik danismanlik,2,2.5-3.0,Null,Null
isletme(uzaktan egitim),4,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi(ingilizce),3,2.5-3.0,Null,Null
yonetim bilisim sistemleri (fakulte),2,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce),4,2.5-3.0,Null,Null
turizm isletmeciligi (yuksekokul),3,0.0-2.5,Null,Null
mekatronik muhendisligi (teknoloji fakultesi),4,3.0-3.5,Null,Null
fizik muhendisligi,1,Null,Null,Null
tip,5,0.0-2.5,Null,Null
insaat muhendisligi(ikinci ogretim),1,2.5-3.0,Null,Null
isletme(siyasal bilgiler fakultesi),3,0.0-2.5,Null,Null
diger,2,0.0-2.5,Null,Null
fizyoterapi ve rehabilitasyon (fakulte),4,3.0-3.5,Null,Null
isletme,3,3.0-3.5,Null,Null
insaat muhendisligi(ingilizce),1,3.0-3.5,Null,Null
elektrik-elektronik muhendisligi (teknoloji fakultesi)(ikinci ogretim),1,3.0-3.5,Null,Null
isletme,5,0.0-2.5,Null,Null
isletme muhendisligi,3,0.0-2.5,Null,Null
insaat muhendisligi,4,0.0-2.5,Null,Null
insaat muhendisligi(ingilizce),hazirlik,Null,Null,Null
otomotiv muhendisligi,2,0.0-2.5,Null,Null
bilgisayar muhendisligi,2,3.0-3.5,Null,Null
isletme,3,0.0-2.5,Null,Null
elektrik-elektronik muhendisligi(ingilizce),1,Null,Null,Null
isletme,3,3.0-3.5,Null,Null
hukuk,4,3.0-4.0,Null,Null
maden muhendisligi,1,Null,Null,Null
ilahiyat(ikinci ogretim),3,0.0-2.5,Null,Null
makine muhendisligi,2,0.0-2.5,Null,Null
makine muhendisligi(ingilizce),3,2.5-3.0,Null,Null
insaat muhendisligi,3,2.5-3.0,Null,Null
otomotiv muhendisligi (teknoloji fakultesi),3,2.5-3.0,Null,Null
kamu yonetimi,2,0.0-2.5,Null,Null
isletme(ingilizce),1,2.5-3.0,Null,Null
elektronik ve haberlesme muhendisligi,1,Null,Null,Null
isletme,2,2.5-3.0,Null,Null
isletme,hazirlik,Null,Null,Null
elektrik-elektronik muhendisligi(ikinci ogretim),3,0.0-2.5,Null,Null
sinif ogretmenligi,2,3.0-3.5,Null,Null
ilahiyat,4,2.5-3.0,Null,Null
gemi insaati ve gemi makineleri muhendisligi,4,0.0-2.5,Null,Null
turizm isletmeciligi (fakulte),3,3.0-3.5,Null,Null
uluslararasi ticaret (yuksekokul),2,2.5-3.0,Null,Null
iktisat(ingilizce),4,0.0-2.5,Null,Null
veterinerlik,5,2.5-3.0,Null,Null
isletme(ingilizce),2,3.0-4.0,Null,Null
elektrik-elektronik muhendisligi(ingilizce),1,3.0-3.5,Null,Null
halkla iliskiler ve reklamcilik (fakulte)(ingilizce),4,2.5-3.0,Null,Null
bilgisayar muhendisligi (teknoloji fakultesi),2,0.0-2.5,Null,Null
zootekni,1,0.0-2.5,Null,Null
muhasebe ve finans yonetimi,2,2.5-3.0,Null,Null
biyomedikal muhendisligi(ikinci ogretim),1,3.0-3.5,Null,Null
tip,2,Null,Null,Null
ucak muhendisligi,4,2.5-3.0,Null,Null
cevre muhendisligi,3,2.5-3.0,Null,Null
turk dili ve edebiyati(ikinci ogretim),3,2.5-3.0,Null,Null
insaat muhendisligi,3,3.0-3.5,Null,Null
felsefe,1,Null,Null,Null
elektrik-elektronik muhendisligi,hazirlik,Null,Null,Null
bilgisayar ve ogretim teknolojileri ogretmenligi,3,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi,1,Null,Null,Null
insaat muhendisligi(ingilizce),2,3.0-4.0,Null,Null
ekonometri(ikinci ogretim),4,2.5-3.0,Null,Null
yonetim bilisim sistemleri (yuksekokul),4,3.0-4.0,Null,Null
mekatronik muhendisligi (m.t.o.k.),2,0.0-2.5,Null,Null
insaat muhendisligi(ingilizce),1,3.0-3.5,Null,Null
uluslararasi lojistik ve tasimacilik (yuksekokul),2,3.0-3.5,Null,Null
bilgisayar muhendisligi,2,0.0-2.5,Null,Null
gida muhendisligi,1,Null,Null,Null
endustri muhendisligi,1,Null,Null,Null
sosyal hizmet (fakulte),2,3.0-3.5,Null,Null
tip,6,3.0-3.5,Null,Null
halkla iliskiler ve tanitim,3,3.0-3.5,Null,Null
tip(ingilizce),1,Null,Null,Null
siyaset bilimi ve kamu yonetimi,1,2.5-3.0,Null,Null
biyomedikal muhendisligi,3,0.0-2.5,Null,Null
hukuk,2,3.0-3.5,Null,Null
insaat muhendisligi,4,0.0-2.5,Null,Null
makine muhendisligi(ingilizce),1,0.0-2.5,Null,Null
bankacilik (yuksekokul),2,0.0-2.5,Null,Null
iktisat(ingilizce),1,0.0-2.5,Null,Null
endustri muhendisligi,2,0.0-2.5,Null,Null
makine muhendisligi(ingilizce),hazirlik,Null,Null,Null
fizyoterapi ve rehabilitasyon (yuksekokul),2,0.0-2.5,Null,Null
endustri muhendisligi(ingilizce),4,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi(ikinci ogretim),hazirlik,Null,Null,Null
iktisat(turkce),3,2.5-3.0,Null,Null
makine muhendisligi,3,0.0-2.5,Null,Null
insaat muhendisligi(ikinci ogretim),2,2.5-3.0,Null,Null
bilgisayar teknolojisi ve bilisim sistemleri (yuksekokul),2,2.5-3.0,Null,Null
isletme,2,0.0-2.5,Null,Null
mimarlik,2,0.0-2.5,Null,Null
ekonomi,3,0.0-2.5,Null,Null
isletme,2,0.0-2.5,Null,Null
jeoloji muhendisligi(ingilizce),3,0.0-2.5,Null,Null
sinif ogretmenligi,2,2.5-3.0,Null,Null
ilahiyat,hazirlik,Null,Null,Null
hukuk,2,3.0-4.0,Null,Null
mimarlik,1,3.0-3.5,Null,Null
veterinerlik,1,Null,Null,Null
yazilim muhendisligi (teknoloji fakultesi),2,2.5-3.0,Null,Null
felsefe,4,2.5-3.0,Null,Null
halkla iliskiler ve tanitim,2,3.0-3.5,Null,Null
iktisat,3,2.5-3.0,Null,Null
metalurji ve malzeme muhendisligi,5,0.0-2.5,Null,Null
makine muhendisligi(ikinci ogretim),2,0.0-2.5,Null,Null
isletme(turkce),1,Null,Null,Null
maden muhendisligi,hazirlik,Null,Null,Null
isletme(siyasal bilgiler fakultesi),2,2.5-3.0,Null,Null
bankacilik ve sigortacilik (yuksekokul),2,3.0-4.0,Null,Null
isletme,2,3.0-3.5,Null,Null
elektrik-elektronik muhendisligi(ingilizce),3,3.0-3.5,Null,Null
dis hekimligi,3,3.0-3.5,Null,Null
diger,2,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi,4,0.0-2.5,Null,Null
makine muhendisligi(ingilizce),1,Null,Null,Null
hemsirelik (fakulte),1,3.0-3.5,Null,Null
dis hekimligi,3,3.0-3.5,Null,Null
siyaset bilimi ve uluslararasi iliskiler,4,3.0-3.5,Null,Null
calisma ekonomisi ve endustri iliskileri,3,2.5-3.0,Null,Null
spor yoneticiligi (yuksekokul),1,2.5-3.0,Null,Null
hukuk,1,3.0-4.0,Null,Null
endustriyel tasarim,2,3.0-3.5,Null,Null
hukuk,1,3.0-3.5,Null,Null
elektrik-elektronik muhendisligi,3,0.0-2.5,Null,Null
iktisat,2,2.5-3.0,Null,Null
cagdas turk lehceleri ve edebiyatlari(ikinci ogretim),1,3.0-3.5,Null,Null
yonetim bilisim sistemleri (fakulte),4,2.5-3.0,Null,Null
diger,1,2.5-3.0,Null,Null
ekonometri,1,0.0-2.5,Null,Null
bilgisayar muhendisligi,3,3.0-3.5,Null,Null
makine muhendisligi,2,2.5-3.0,Null,Null
endustri muhendisligi,2,2.5-3.0,Null,Null
ucak govde-motor (yuksekokul)(ikinci ogretim),1,2.5-3.0,Null,Null
yonetim bilisim sistemleri (fakulte),3,0.0-2.5,Null,Null
spor yoneticiligi (yuksekokul),3,3.0-3.5,Null,Null
endustri muhendisligi,3,2.5-3.0,Null,Null
hukuk,hazirlik,Null,Null,Null
isletme(ingilizce),3,3.0-4.0,Null,Null
makine muhendisligi,3,0.0-2.5,Null,Null
hukuk,3,2.5-3.0,Null,Null
mimarlik,2,2.5-3.0,Null,Null
makine muhendisligi(ikinci ogretim),3,0.0-2.5,Null,Null
tip,2,Null,Null,Null
rayli sistemler muhendisligi,2,0.0-2.5,Null,Null
"radyo, televizyon ve sinema(tam burslu)",2,2.5-3.0,Null,Null
peyzaj mimarligi,2,2.5-3.0,Null,Null
gazetecilik,3,2.5-3.0,Null,Null
yazilim muhendisligi,1,3.0-4.0,Null,Null
maliye,1,0.0-2.5,Null,Null
ilahiyat,1,3.0-3.5,Null,Null
dis hekimligi,2,Null,Null,Null
biyomuhendislik(ingilizce),1,Null,Null,Null
mekatronik muhendisligi,1,0.0-2.5,Null,Null
tip(cerrahpasa),3,0.0-2.5,Null,Null
makine muhendisligi,3,0.0-2.5,Null,Null
insaat muhendisligi(ingilizce),2,2.5-3.0,Null,Null
isletme(ingilizce),1,Null,Null,Null
iktisat(ingilizce),1,Null,Null,Null
isletme,4,0.0-2.5,Null,Null
islami ilimler(arapca),hazirlik,Null,Null,Null
gemi insaati ve gemi makineleri muhendisligi(ingilizce),1,Null,Null,Null
hukuk,3,3.0-3.5,Null,Null
hukuk,3,3.0-4.0,Null,Null
siyaset bilimi ve kamu yonetimi(ingilizce),1,Null,Null,Null
calisma ekonomisi ve endustri iliskileri,1,2.5-3.0,Null,Null
bilgisayar muhendisligi,2,0.0-2.5,Null,Null
turk dili ve edebiyati,4,2.5-3.0,Null,Null
malzeme bilimi ve muhendisligi(ingilizce),1,Null,Null,Null
metalurji ve malzeme muhendisligi,4,0.0-2.5,Null,Null
calisma ekonomisi ve endustri iliskileri,2,0.0-2.5,Null,Null
isletme,4,0.0-2.5,Null,Null
calisma ekonomisi ve endustri iliskileri(ikinci ogretim),3,0.0-2.5,Null,Null
iktisat,4,0.0-2.5,Null,Null
fizik muhendisligi,4,3.0-3.5,Null,Null
turkce ogretmenligi,2,3.0-3.5,Null,Null
alman dili ve edebiyati,hazirlik,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce),3,3.0-4.0,Null,Null
acil yardim ve afet yonetimi (yuksekokul),hazirlik,Null,Null,Null
tarim ekonomisi,3,2.5-3.0,Null,Null
endustri muhendisligi(ingilizce),2,3.0-3.5,Null,Null
makine muhendisligi,5,0.0-2.5,Null,Null
"radyo, televizyon ve sinema",2,0.0-2.5,Null,Null
insaat muhendisligi,3,0.0-2.5,Null,Null
gemi insaati ve gemi makineleri muhendisligi,1,2.5-3.0,Null,Null
fizik,2,0.0-2.5,Null,Null
sehir ve bolge planlama(ingilizce),1,2.5-3.0,Null,Null
biyomuhendislik(ingilizce)(%25 burslu),1,Null,Null,Null
endustri muhendisligi,hazirlik,Null,Null,Null
mimarlik,1,Null,Null,Null
endustri muhendisligi,4,2.5-3.0,Null,Null
bilgisayar muhendisligi,2,3.0-3.5,Null,Null
insaat muhendisligi,3,2.5-3.0,Null,Null
muhasebe (yuksekokul),2,3.0-4.0,Null,Null
hukuk,2,0.0-2.5,Null,Null
bilgisayar muhendisligi (teknoloji fakultesi),3,2.5-3.0,Null,Null
iktisat,1,3.0-3.5,Null,Null
iktisat,4,0.0-2.5,Null,Null
insaat muhendisligi,3,0.0-2.5,Null,Null
maliye,3,2.5-3.0,Null,Null
gastronomi ve mutfak sanatlari (turizm fakultesi)(ikinci ogretim),1,2.5-3.0,Null,Null
metalurji ve malzeme muhendisligi(ingilizce),4,2.5-3.0,Null,Null
endustri muhendisligi,3,0.0-2.5,Null,Null
uluslararasi iliskiler(ikinci ogretim),4,2.5-3.0,Null,Null
hemsirelik (fakulte),3,3.0-3.5,Null,Null
sosyoloji,2,0.0-2.5,Null,Null
uluslararasi iliskiler(ingilizce),1,Null,Null,Null
kamu yonetimi(fransizca),3,3.0-3.5,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,Null,Null
iktisat,3,2.5-3.0,Null,Null
diger,2,Null,Null,Null
rayli sistemler muhendisligi,3,0.0-2.5,Null,Null
tip,4,2.5-3.0,Null,Null
hukuk(ikinci ogretim),2,0.0-2.5,Null,Null
maliye(ikinci ogretim),2,0.0-2.5,Null,Null
yazilim muhendisligi,1,2.5-3.0,Null,Null
hukuk,4,2.5-3.0,Null,Null
isletme,1,2.5-3.0,Null,Null
hukuk,3,3.0-4.0,Null,Null
uluslararasi ticaret ve lojistik (yuksekokul),2,2.5-3.0,Null,Null
makine muhendisligi,2,0.0-2.5,Null,Null
iktisat(ingilizce),2,2.5-3.0,Null,Null
amerikan kulturu ve edebiyati,3,0.0-2.5,Null,Null
sosyoloji,3,3.0-3.5,Null,Null
isletme(turkce),3,0.0-2.5,Null,Null
isletme,2,3.0-3.5,Null,Null
isletme(uolp-suny binghamton),2,3.0-4.0,Null,Null
bilgisayar muhendisligi(ingilizce),3,2.5-3.0,Null,Null
iktisat(tam burslu),1,Null,Null,Null
otomotiv muhendisligi(ikinci ogretim),2,2.5-3.0,Null,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,Null,Null
hemsirelik (yuksekokul),2,2.5-3.0,Null,Null
isletme,3,0.0-2.5,Null,Null
isletme(%50 burslu),3,0.0-2.5,Null,Null
bilgisayar muhendisligi(ingilizce),3,3.0-4.0,Null,Null
uluslararasi iliskiler,1,0.0-2.5,Null,Null
iktisat,2,Null,Null,Null
kamu yonetimi,1,3.0-3.5,Null,Null
endustri muhendisligi,3,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce),1,Null,Null,Null
iktisat(ikinci ogretim),2,2.5-3.0,Null,Null
yonetim bilisim sistemleri (fakulte),1,Null,Null,Null
bilgisayar muhendisligi,1,Null,Null,Null
insaat muhendisligi,4,0.0-2.5,Null,Null
bilgisayar muhendisligi,1,0.0-2.5,Null,Null
spor yoneticiligi (yuksekokul),2,3.0-3.5,Null,Null
makine muhendisligi(ingilizce),4,3.0-4.0,Null,Null
insaat muhendisligi(ikinci ogretim),3,3.0-3.5,Null,Null
diger,2,2.5-3.0,Null,Null
endustri muhendisligi,3,2.5-3.0,Null,Null
bilgisayar muhendisligi,2,0.0-2.5,Null,Null
uluslararasi ticaret (yuksekokul),5,2.5-3.0,Null,Null
gemi makineleri isletme muhendisligi(ingilizce),2,0.0-2.5,Null,Null
uluslararasi iliskiler,4,0.0-2.5,Null,Null
endustri muhendisligi,4,3.0-3.5,Null,Null
saglik yonetimi (yuksekokul),1,2.5-3.0,Null,Null
psikoloji,3,2.5-3.0,Null,Null
siyaset bilimi ve uluslararasi iliskiler(ingilizce),3,3.0-4.0,Null,Null
uzay muhendisligi(ingilizce),4,0.0-2.5,Null,Null
uluslararasi iliskiler,2,2.5-3.0,Null,Null
yonetim bilisim sistemleri (fakulte)(ikinci ogretim),2,0.0-2.5,Null,Null
tip,2,3.0-3.5,Null,Null
saglik yonetimi (fakulte),4,3.0-3.5,Null,Null
iktisat(ingilizce),3,3.0-3.5,Null,Null
insaat muhendisligi,2,Null,Null,Null
elektrik muhendisligi,3,2.5-3.0,Null,Null
istatistik,2,0.0-2.5,Null,Null
otomotiv muhendisligi (teknoloji fakultesi),2,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce),3,2.5-3.0,Null,Null
rehberlik ve psikolojik danismanlik(ikinci ogretim),3,2.5-3.0,Null,Null
hukuk,1,2.5-3.0,Null,Null
isletme,3,2.5-3.0,Null,Null
bilgisayar muhendisligi,4,0.0-2.5,Null,Null
makine muhendisligi,4,0.0-2.5,Null,Null
isletme(ingilizce),1,3.0-4.0,Null,Null
elektrik-elektronik muhendisligi (m.t.o.k.)(ikinci ogretim),4,0.0-2.5,Null,Null
maden muhendisligi(ingilizce),2,2.5-3.0,Null,Null
tip,6,3.0-4.0,Null,Null
mimarlik,3,3.0-3.5,Null,Null
makine muhendisligi,5,0.0-2.5,Null,Null
tip,5,2.5-3.0,Null,Null
endustri muhendisligi,2,3.0-3.5,Null,Null
sinif ogretmenligi,3,2.5-3.0,Null,Null
amerikan kulturu ve edebiyati,3,Null,Null,Null
beslenme ve diyetetik (fakulte),4,3.0-3.5,Null,Null
bilgi ve belge yonetimi,1,Null,Null,Null
isletme(ingilizce),2,0.0-2.5,Null,Null
iktisat,3,2.5-3.0,Null,Null
iktisat,2,2.5-3.0,Null,Null
hukuk,3,2.5-3.0,Null,Null
diger,2,2.5-3.0,Null,Null
endustri muhendisligi(ingilizce)(%50 burslu),4,3.0-3.5,Null,Null
hemsirelik (yuksekokul),1,0.0-2.5,Null,Null
isletme(ingilizce),2,3.0-3.5,Null,Null
hemsirelik (fakulte),3,2.5-3.0,Null,Null
isletme(islahiye),2,3.0-4.0,Null,Null
bilgisayar muhendisligi,4,2.5-3.0,Null,Null
siyaset bilimi ve kamu yonetimi,1,2.5-3.0,Null,Null
uluslararasi iliskiler,4,0.0-2.5,Null,Null
iktisat(ikinci ogretim),2,0.0-2.5,Null,Null
diger,1,Null,Null,Null
isletme bilgi yonetimi (yuksekokul),2,2.5-3.0,Null,Null
tip(cerrahpasa),1,3.0-3.5,Null,Null
dis hekimligi,2,2.5-3.0,Null,Null
ilahiyat,4,3.0-3.5,Null,Null
tip,3,3.0-4.0,Null,Null
endustri muhendisligi(ingilizce),3,3.0-4.0,Null,Null
beslenme ve diyetetik (fakulte)(tam burslu),2,2.5-3.0,Null,Null
gida teknolojisi (yuksekokul),1,2.5-3.0,Null,Null
molekuler biyoloji ve genetik(ingilizce),1,2.5-3.0,Null,Null
"radyo, televizyon ve sinema(turkce)",3,0.0-2.5,Null,Null
iktisat(ingilizce),1,0.0-2.5,Null,Null
calisma ekonomisi ve endustri iliskileri,3,0.0-2.5,Null,Null
calisma ekonomisi ve endustri iliskileri,2,2.5-3.0,Null,Null
psikoloji,4,0.0-2.5,Null,Null
isletme,2,3.0-4.0,Null,Null
sehir ve bolge planlama,2,2.5-3.0,Null,Null
matematik muhendisligi(ingilizce),4,2.5-3.0,Null,Null
hukuk,4,2.5-3.0,Null,Null
mekatronik muhendisligi,3,2.5-3.0,Null,Null
bankacilik ve finans (yuksekokul),4,0.0-2.5,Null,Null
hukuk,1,3.0-3.5,Null,Null
saglik yonetimi (fakulte),3,2.5-3.0,Null,Null
kimya muhendisligi,1,Null,Null,Null
yonetim bilisim sistemleri (yuksekokul),1,2.5-3.0,Null,Null
ilahiyat,4,0.0-2.5,Null,Null
insaat muhendisligi,4,3.0-3.5,Null,Null
makine muhendisligi,4,2.5-3.0,Null,Null
bilgisayar muhendisligi,3,0.0-2.5,Null,Null
insaat muhendisligi,4,3.0-3.5,Null,Null
ingilizce ogretmenligi,4,3.0-3.5,Null,Null
uluslararasi ticaret (fakulte),3,0.0-2.5,Null,Null
yonetim bilisim sistemleri (fakulte),2,0.0-2.5,Null,Null
halkla iliskiler ve tanitim,4,3.0-3.5,Null,Null
kamu yonetimi,3,2.5-3.0,Null,Null
sosyoloji(ikinci ogretim),3,3.0-3.5,Null,Null
cevre muhendisligi(ikinci ogretim),2,0.0-2.5,Null,Null
maliye,2,0.0-2.5,Null,Null
insaat muhendisligi,4,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce)(ikinci ogretim),3,2.5-3.0,Null,Null
uluslararasi ticaret (fakulte),2,2.5-3.0,Null,Null
hemsirelik (fakulte),3,2.5-3.0,Null,Null
maliye,3,2.5-3.0,Null,Null
antropoloji,3,3.0-4.0,Null,Null
uluslararasi iliskiler(ingilizce),3,2.5-3.0,Null,Null
isletme,2,3.0-3.5,Null,Null
cevher hazirlama muhendisligi,2,2.5-3.0,Null,Null
bilgisayar muhendisligi(ingilizce),4,0.0-2.5,Null,Null
turk dili ve edebiyati,3,0.0-2.5,Null,Null
hemsirelik (fakulte),4,2.5-3.0,Null,Null
fen bilgisi ogretmenligi,4,3.0-3.5,Null,Null
isletme(isletme fakultesi),3,0.0-2.5,Null,Null
matematik(polatli),2,2.5-3.0,Null,Null
insaat muhendisligi,1,Null,Null,Null
hukuk,2,0.0-2.5,Null,Null
iktisat,4,0.0-2.5,Null,Null
iktisat,2,2.5-3.0,Null,Null
molekuler biyoloji ve genetik(ingilizce),3,3.0-3.5,Null,Null
ingilizce ogretmenligi(elt),4,3.0-3.5,Null,Null
tip,1,Null,Null,Null
matematik,3,0.0-2.5,Null,Null
gastronomi ve mutfak sanatlari (turizm fakultesi),1,2.5-3.0,Null,Null
molekuler biyoloji ve genetik(ingilizce),3,2.5-3.0,Null,Null
endustri muhendisligi,1,Null,Null,Null
iktisat(turkce),2,2.5-3.0,Null,Null
ilkogretim matematik ogretmenligi(tam burslu),3,2.5-3.0,Null,Null
ilkogretim matematik ogretmenligi,2,2.5-3.0,Null,Null
tip,3,3.0-4.0,Null,Null
sinif ogretmenligi,1,3.0-3.5,Null,Null
tip,2,2.5-3.0,Null,Null
calisma ekonomisi ve endustri iliskileri(ikinci ogretim),4,0.0-2.5,Null,Null
bilgisayar muhendisligi,3,0.0-2.5,Null,Null
insaat muhendisligi(ingilizce)(ikinci ogretim),2,3.0-3.5,Null,Null
metalurji ve malzeme muhendisligi,3,2.5-3.0,Null,Null
siyaset bilimi ve uluslararasi iliskiler,3,0.0-2.5,Null,Null
okul oncesi ogretmenligi,2,0.0-2.5,Null,Null
elektrik-elektronik muhendisligi,3,3.0-3.5,Null,Null
iletisim,hazirlik,Null,Null,Null
havacilik ve uzay muhendisligi,2,0.0-2.5,Null,Null
tip(cerrahpasa)(ingilizce),4,2.5-3.0,Null,Null
