Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
uluslararasi ticaretingilizce,hazirlik,Null,0,emirsultan anadolu lisesi,Null,bursa,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
bilgisayar ve ogretim teknolojileri egitmenligi,3,2.5-3.0,0,bahcelievler lisesi,Null,istanbul,duz lise,Null,Null,3.0-3.5,Null,Null,Null
hukuk fakultesi,4,0.0-2.5,0,kangal lisesi,Null,sivas,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,1,Null,0,buyuksehir huseyin yildiz anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
uluslararasi iliskiler,1,Null,0,izmir ataturk lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve finansman,2,0.0-2.5,0,ahmet hakki balcioglu tml,Null,izmir,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve finansman,3,3.0-4.0,0,denizlispor koleji,Null,denizli,Özel,esit agirlik,Null,2.5-3.0,Null,Null,Null
cevre muhendisligi,3,3.0-3.5,0,osman nuri hekimoglu anadolu lisesi,Null,konya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,0.0-2.5,0,ozel bilfen lisesi:,Null,istanbul,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
ic mimarlik,3,2.5-3.0,0,antalya koleji,Null,antalya,Özel,esit agirlik,Null,3.0-3.5,Null,Null,Null
hukuk,3,0.0-2.5,0,yamanlar bedri sasal lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
mekatronik muhendisligi,2,3.0-4.0,0,ataturk lisesi,Null,sakarya,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
beslenme ve diyetetik,hazirlik,Null,0,ceas anadolu lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi isletme yonetimi almanca,4,2.5-3.0,0,avusturya lisesi,Null,istanbul,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
matematik ve almanca cift anadali,3,3.0-4.0,0,robert,Null,Null,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
enformasyon teknolojileriit/endustri muhendisligicap,3,3.0-3.5,0,eyup anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,2,3.0-4.0,0,nevsehir anadolu ogretmen lisesi,Null,nevsehir,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
optisyenlik,1,Null,1,sehit nedim tugaltay lisesi,Null,corum,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
felsefe,2,3.0-3.5,1,namik kemal lisesi,Null,diyarbakir,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
hemsirelik,1,2.5-3.0,0,bahcelievler cumhuriyet anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
biyomedikal muhendisligi,4,0.0-2.5,0,adana anadolu lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,3.0-3.5,0,cihanbeyli anadolu lisesi,Null,konya,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
ergoterapi,2,3.0-3.5,0,samiha ayverdi anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
elektronik ve haberlesme muhendisligi,2,3.0-4.0,0,nuh mehmet baldoktu anadolu lisesi,Null,kayseri,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
psikoloji,4,3.0-4.0,0,izmir karsiyaka lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
matematik muhendisligi,3,2.5-3.0,0,antalya lisesi anadolu,Null,antalya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,3.0-3.5,0,ciragan fen lisesi,Null,kocaeli,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
insaat muhendisligi,2,2.5-3.0,0,ozel aziziye lisesi,Null,erzurum,Özel,sayisal,Null,2.5-3.0,Null,Null,Null
mimarlik,2,3.0-3.5,0,ulgan konukoglu lisesi,Null,gaziantep,duz lise,sayisal,Null,3.0-3.5,Null,Null,Null
isletme ingilizce,4,0.0-2.5,0,mehmetcik lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve finansman,1,Null,0,malkara anadolu lisesi,Null,tekirdag,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
insaat muhendisligi,1,Null,0,imkb anadolu lisesi,Null,gaziantep,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,meram fen lisesi,Null,konya,fen lisesi,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve isletmecilik,1,Null,0,malatya fen lisesi,Null,malatya,fen lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
universite okumadim sistem istedigi icin yazim,Null,Null,0,ellek cok programli lise,Null,Null,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
ingilizce isletme,4,3.0-3.5,0,mecidiyekoy lisesi,Null,istanbul,duz lise,fen bilimleri,Null,3.0-4.0,Null,Null,Null
uluslararasi girisimcilik,2,3.0-3.5,0,istanbul erkek lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
uluslararasi iliskiler- iktisat cift anadal,3,3.0-3.5,0,adana anadolu lisesi,Null,adana,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
elektrk ve elektonik muh. ingilice % 100,2,3.0-3.5,0,argincik lisesi,Null,kayseri,duz lise,Null,Null,3.0-3.5,Null,Null,Null
uluslararasi iliskiler,1,Null,0,ortakoy adml,Null,istanbul,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi %100 ingilizce,3,2.5-3.0,0,adana anadolu lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
elektrik elektronik muhendisligi,4,0.0-2.5,0,gap anadolu lisesi,Null,sanliurfa,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi ingilizce,3,2.5-3.0,0,kirimli ismail rustu olcay anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,0.0-2.5,0,afyonkarahisar suleyman demirel fen lisesi,Null,afyonkarahisar,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,0.0-2.5,0,afyonkarahisar suleyman demirel fen lisesi,Null,afyonkarahisar,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
hukuk,3,3.0-3.5,0,nevzat ayaz anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
yazilim muhendisligi,4,0.0-2.5,0,bursa anadolu erkek lisesi,Null,bursa,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
elektrik elektronik muhendisligi,4,0.0-2.5,0,kartal anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,mezun,0.0-2.5,1,nigde anadolu lisesi,Null,nigde,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,0.0-2.5,0,denizli anadolu lisesi,Null,Null,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,2,2.5-3.0,0,20 mayis vakfi turgut ozal anadolu lisesi,Null,malatya,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
makine muhendisligi,2,0.0-2.5,0,ertugrulgazi lisesi,Null,eskisehir,fen lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
turizm isletmeciligi,3,0.0-2.5,0,ankara anadolu otelcilik ve turizm meslek lisesi,Null,ankara,meslek lisesi,yiyecek icecek hizmetleri,Null,2.5-3.0,Null,Null,Null
gastronomi ve mutfak sanatlari,4,0.0-2.5,0,ozel bornova anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
isletmelisans,2,3.0-4.0,0,arhavi anadolu lisesi,Null,artvin,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bankacilik ve finans,4,3.0-3.5,0,yahya kemal beyatli,Null,ankara,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
hukuk,2,2.5-3.0,0,ozel nilufer anadolu lisesi,Null,bursa,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,4,0.0-2.5,0,etimesgut mehmetcik lisesi,Null,ankara,duz lise,Null,Null,2.5-3.0,Null,Null,Null
saglik yonetimi,3,3.0-3.5,0,imkb gursu anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
hukuk %30 ingilizce,2,2.5-3.0,0,merkez bankasi derince anadolu lisesi,Null,kocaeli,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
reklamcilik,2,3.0-3.5,0,vize lisesi,Null,kirklareli,duz lise,sozel,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,2,3.0-3.5,0,dr. binnaz ege dr. ridvan ege anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme,4,2.5-3.0,0,mehmet ozoncel anadolu lisesi,Null,adana,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,3,3.0-4.0,0,tarsus anadolu ogretmen lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
rehberlik ve psikolojik danismanlik,1,Null,0,sehit ozcan kan anadolu ogretmen lisesi,Null,kocaeli,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme,4,3.0-4.0,0,kazak-turk lisesi,Null,Null,Özel,Null,Null,3.0-4.0,Null,Null,Null
yazilim muhendisligi,1,3.0-3.5,0,mersin ticaret ve sanayi odasi anadolu lisesi,Null,mersin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,mezun,2.5-3.0,0,nazilli anadolu lisesi,Null,aydin,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
mekatronik muhendisligi,3,3.0-3.5,0,ertugrul gazi anadolu lisesi,Null,bursa,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,0.0-2.5,0,ozel antalya koleji burslu,Null,antalya,Özel,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret,3,2.5-3.0,0,nevzat ayaz anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
iletisim,Null,Null,0,aydin dogan anadolu iletisim meslek lisesi,Null,istanbul,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,4,0.0-2.5,0,canakkale milli piyango anadolu lisesi,Null,canakkale,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletmeingilizce,hazirlik,Null,0,kirsehir anadolu ogretmen lisesi,Null,kirsehir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,1,Null,0,cahit elginkan anadolu lisesi,Null,kocaeli,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
genetik ve biyomuhendislik,3,3.0-3.5,0,bursa ted koleji,Null,bursa,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,1,Null,0,cumhuriyet anadolu lisesi,Null,manisa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar programciligi - myo,2,3.0-4.0,0,mithatpasa anadolu teknik lisesi,Null,izmir,meslek lisesi,bilisim teknolojileri,Null,3.0-4.0,Null,Null,Null
management information systems,4,3.0-4.0,0,buca anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar veya yazilim muh. olacak,1,Null,0,izmir karatas lisesi,Null,izmir,duz lise,sayisal,Null,2.5-3.0,Null,Null,Null
bilgisayar teknolojisi ve bilisim sistemleri,2,3.0-3.5,0,cahit elginkan anadolu lisesi,Null,kocaeli,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
lojistik yonetimi // uluslararasi ticaret ve finansmancap,4,3.0-4.0,0,tire kutsan anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
ingilizce isletme,3,2.5-3.0,0,ozel umraniye irfan anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
elektrik-elektronik muhendisligi,hazirlik,Null,0,nevsehir h.avni incekara fen lisesi,Null,nevsehir,fen lisesi,Null,Null,3.0-4.0,Null,Null,Null
"enerji sistemleri muhendisligi,elektrik-elektronik muhendisligicift anadal",3,3.0-3.5,0,soke cumhuriyet anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bankacilik ve finans,4,3.0-3.5,0,bodrum marmara koleji,Null,Null,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
psikoloji,4,3.0-3.5,0,ankara umitkoy anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme ve reklamcilik. cap yapiyorum.,4,3.0-3.5,0,bursa ulubatli hasan anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
hemsirelik,2,2.5-3.0,0,dogansehir lisesi,Null,malatya,duz lise,Null,Null,2.5-3.0,Null,Null,Null
uluslararasi ticaret ve isletmecilik,3,2.5-3.0,0,samsun ataturk anadolu lisesi,Null,samsun,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
bilgisayar muhendisligi anadal/ endustri muhendisligi ikinci anadal,3,3.0-3.5,0,rize anadolu ogretmen lisesi,Null,rize,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
grafik,4,3.0-4.0,1,cagaloglu anadolu kiz meslek lisesi,Null,istanbul,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
biyomedikal muhendisligi,3,3.0-4.0,0,fmv ozel ayazaga isik lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve finansman,4,3.0-3.5,0,konak anadolu lisesi,Null,izmir,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
hukuk,4,3.0-3.5,0,rahmi kula anadolu lisesi,Null,balikesir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ekonomi,hazirlik,Null,0,tekirdag anadolu lisesi,Null,tekirdag,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,3.0-4.0,0,aydin adnan menderes anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
yonetim bilisim sistemleri %100 ing.,2,3.0-4.0,0,bayrakli gumuspala anadolu lisesi,Null,izmir,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
master of business administration,1,Null,1,yesilkoy anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,2.5-3.0,Null,Null,Null
gorsel iletisim tasarimi,1,Null,0,ovgu terzibasioglu anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
sanat sosyal fakultesi,1,Null,0,cimentas anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
hukuk ve medya ve iletisim sistemleri anabilim dallarinda %100 osym burslu,4,3.0-4.0,0,united world college- usa,Null,Null,Özel,Null,Null,3.0-4.0,Null,Null,Null
ic mimarlik ve cevre tasarimi,1,Null,0,ahmet adnan saygun lisesi / cigli,Null,izmir,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,3.0-3.5,0,aksaray .anadolu ogretmen lisesi,Null,aksaray,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
ekonomi ing,2,3.0-4.0,0,kirimli fazilet olcay anadolu lisesi,Null,istanbul,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
hukuk,3,2.5-3.0,0,mumtaz turhan sosyal bilimler lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,2,2.5-3.0,0,buyukcigli lisesi,Null,izmir,duz lise,fen bilimleri,Null,3.0-4.0,Null,Null,Null
turk dili ve edebiyati,1,Null,0,layika akbilek anadolu kiz meslek lisesi,Null,ankara,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler ingilizce,4,3.0-3.5,0,silivri lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
turk dili ve edebiyati,4,2.5-3.0,0,akcaabat iman hatip lisesi,Null,trabzon,imam hatip lisesi,sozel,Null,2.5-3.0,Null,Null,Null
uluslararasi ticaret ve lojistik,4,0.0-2.5,0,turgut reis lisesi,Null,mugla,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
petrol ve dogalgaz muhendisligi,2,0.0-2.5,0,ozel idare anadolu lisesi,Null,gaziantep,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
uluslararasi ticaret ve lojistik,3,0.0-2.5,0,imkb lisesi,Null,batman,duz lise,sayisal,Null,2.5-3.0,Null,Null,Null
ingiliz dili ve edebiyati,1,Null,0,nigbolu anadolu lisesi,Null,ankara,duz lise,dil,Null,3.0-4.0,Null,Null,Null
geomatik muhendisligi,2,2.5-3.0,0,beykoz anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
biyomedikal muhendisligi,4,3.0-3.5,0,kanuni anadolu lisesi,Null,trabzon,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
mimarlik,3,2.5-3.0,0,2000 evler,Null,nevsehir,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
psikoloji,2,3.0-3.5,0,nazilli anadolu ogretmen lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
halkla iliskiler,2,3.0-3.5,0,erkan avci eml,Null,istanbul,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
isletmeanadal - endustri muhendisligiyandal,2,3.0-3.5,0,ataturk anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
insaat muhendisligi ing,1,Null,0,uskudar halide edip adivar anadolu lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve finansman,3,0.0-2.5,0,balcova nevvar salih isgoren lisesi,Null,izmir,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
harita kadastro,2,3.0-4.0,0,ismet inonu,Null,adana,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
isletme,2,0.0-2.5,0,19 mayis anadolu lisesi,Null,samsun,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve kamu yonetimi,1,3.0-3.5,0,bozdogan anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi isletme yonetimi,3,0.0-2.5,0,suha erler anadolu lisesi,Null,kahramanmaras,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,3.0-3.5,0,buca fen lisesi,Null,izmir,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,0,gulkent anadolu lisesi,Null,isparta,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,2.5-3.0,0,pertevniyal lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
otomotiv teknolojileri,mezun,Null,0,topane endustri meslek lisesi,Null,bursa,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,3.0-3.5,0,aldemir - atilla konuk anadolu lisesi,Null,antalya,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
tibbi dokumantasyon ve sekreterlik,2,3.0-3.5,0,anadolu teknik ve kiz meslek lisesi,Null,kutahya,meslek lisesi,cocuk gelisimi,Null,3.0-4.0,Null,Null,Null
muhasebe,mezun,3.0-3.5,1,halis kutmangil cok programli,Null,istanbul,meslek lisesi,muhasebe,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,1,Null,0,kirklareli anadolu lisesi,Null,kirklareli,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
saglik kurumlari isletmeciligi,1,3.0-3.5,0,h.m.b. ulusoy e.m.l.,Null,trabzon,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
yazilim muhendisligi,2,3.0-4.0,0,mustafa kaynak anadolu lisesi,Null,denizli,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
eczacilik bolumu,4,3.0-4.0,0,ulubatli hasan anadolu lisesi,Null,bursa,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
kentsel tasarim ve peyzaj mimarligi,3,2.5-3.0,0,hurriyet anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
makine,2,0.0-2.5,0,kirkkonaklar,Null,ankara,anadolu lisesi,sayisal,Null,2.5-3.0,Null,Null,Null
isletme,1,Null,0,rahmi kula anadolu lisesi,Null,balikesir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ekonomi,2,2.5-3.0,0,turk telekom anadolu ogretmen lisesi,Null,afyonkarahisar,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,3.0-4.0,0,koc ozel lisesi,Null,istanbul,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve kamu yonetimi,2,3.0-3.5,0,ozel rota anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
halkla iliskiler ve reklamcilik,2,3.0-3.5,0,ertugrulgazi lisesi,Null,bursa,anadolu lisesi,sozel,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,duzce anadolu ogretmen lisesi,Null,duzce,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
elektronik muhendisligi,4,3.0-3.5,0,uskudar cumhuriyet lisesi,Null,istanbul,duz lise,fen bilimleri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,3,0.0-2.5,0,afyonkarahisar suleyman demirel fen lisesi,Null,afyonkarahisar,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
elektronik ve haberlesme muh.,2,0.0-2.5,0,elazig anadolu lisesi,Null,elazig,anadolu lisesi,fen bilimleri,Null,0.0-2.5,Null,Null,Null
gazetecilik,4,0.0-2.5,0,istanbul prof. dr. mumtaz turhan sosyal bilimler lisesi,Null,istanbul,fen lisesi,sozel,Null,3.0-4.0,Null,Null,Null
halkla iliskiler ve reklamcilik,1,Null,0,kirimli ismail rustu olcay anadolu lisesi,Null,istanbul,anadolu lisesi,sozel,Null,3.0-3.5,Null,Null,Null
otomotiv muhendisligi%100 ing,2,3.0-4.0,0,emel mustafa usakli anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
ekonomi - yonetim bilimleri,1,3.0-3.5,0,denizli doga koleji,Null,denizli,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ingiliz dili ve edebiyati,2,2.5-3.0,0,ozel mavigun anadolu lisesi,Null,istanbul,Özel,dil,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,3.0-3.5,1,mimar sinan anadolu teknik,Null,izmir,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,3,3.0-3.5,0,korfez fen lisesi,Null,kocaeli,fen lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilisim sistemleri muhendisligi,mezun,3.0-3.5,0,ataturk anadolu meslek lisesi,Null,sivas,meslek lisesi,bilisim teknolojileri,Null,2.5-3.0,Null,Null,Null
yazilim muhendisligi,4,2.5-3.0,0,karasu ataturk anadolu lisesi,Null,sakarya,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,Null,0,gazi anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
computer science engineering,3,2.5-3.0,0,sami yangin anadolu lisesi,Null,kayseri,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
halkla iliskiler,4,3.0-3.5,0,akpinar anadolu ogretmen lisesi,Null,samsun,anadolu lisesi,sozel,Null,3.0-4.0,Null,Null,Null
elektronik ve haberlesme muhendisligi,2,0.0-2.5,0,kocatepe mimar kemal lisesi,Null,ankara,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
hukuk,1,Null,0,bilkent erzurum laboratuvar lisesi,Null,erzurum,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,4,2.5-3.0,0,abdulkerim bengi anadolu lisesi,Null,mersin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
mimarlik,hazirlik,Null,0,pendik teknik ve endustri meslek lisesi,Null,istanbul,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
turizm ve otel iletmeciligi,2,3.0-3.5,0,fevzi aladdinoglu anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme,2,3.0-3.5,0,capa anadolu ogretmen lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
kontrol ve otomasyon muhendisligi,4,3.0-3.5,0,halit gorgulu lisesi,Null,manisa,duz lise,Null,Null,3.0-3.5,Null,Null,Null
elektrik elektronik muhendisligi,3,3.0-3.5,0,ataturk anadolu lisesi,Null,zonguldak,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
gazetecilik,2,3.0-4.0,0,karamursel anadolu lisesi,Null,kocaeli,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
makine muhendisligi,3,3.0-3.5,0,cankaya milli piyango anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
hukuk,2,2.5-3.0,0,ortaklar anadolu ogretmen lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,2,0.0-2.5,0,avusturya ticaret lisesi,Null,istanbul,Özel,Null,Null,3.0-3.5,Null,Null,Null
isletme,1,Null,0,ankara ataturk lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
saglik yonetimi / psikoloji cift anadal,3,3.0-3.5,0,balikesir cumhuriyet anadolu lisesi,Null,balikesir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
