index,index1,index2,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
857,857,857,molekuler biyoloji ve genetik,3,3.0-4.0,0,Null
858,858,858,endustri muhendisligi,1,Null,0,Null
859,859,859,psikolojiingilizce,1,Null,0,Null
860,860,860,hukuk,2,3.0-4.0,0,Null
861,861,861,siyaset bilimi ve kamu yonetimi,3,0.0-2.5,0,Null
862,862,862,elektronik ve haberlesme muhendisligi tam burslu,4,3.0-3.5,0,Null
863,863,863,siyaset bilimi ve kamu yonetimi,1,3.0-3.5,0,Null
864,864,864,elektrik elektronik muhendisligi%100 ingilizce,4,3.0-3.5,0,Null
865,865,865,sosyoloji,2,3.0-3.5,0,Null
866,866,866,elektronik ve haberlesme muhendisligi,Null,3.0-3.5,0,Null
867,867,867,uluslararasi ticaret ve finans ingilizce,3,0.0-2.5,0,Null
868,868,868,genetics and bioengineering,2,3.0-3.5,0,Null
869,869,869,hukuk fakultesi,3,2.5-3.0,0,Null
870,870,870,psikoloji,3,3.0-3.5,0,Null
871,871,871,endustri muhendisligi,2,0.0-2.5,0,Null
872,872,872,ekonomi,1,Null,0,Null
873,873,873,endustri muhendisligi,hazirlik,3.0-4.0,0,Null
874,874,874,bilgisayar muhendisligi,3,2.5-3.0,0,Null
875,875,875,ergoterapi,3,3.0-3.5,0,Null
876,876,876,elektrik elektronik muhendisligi,3,3.0-3.5,0,Null
877,877,877,endustri muhendisligi,3,0.0-2.5,0,Null
878,878,878,yonetim bilisim sistemlerimis ing. tam burslu,1,Null,0,Null
879,879,879,hukuk fakultesi,3,2.5-3.0,0,Null
880,880,880,tarihingilizce,3,2.5-3.0,0,Null
881,881,881,fizik,4,2.5-3.0,0,Null
882,882,882,isletme,1,Null,0,Null
883,883,883,rehberlik ve psikolojik danismanlik,3,3.0-3.5,0,Null
884,884,884,anestezi,2,Null,0,Null
885,885,885,bankacilik ve finans,4,2.5-3.0,0,Null
886,886,886,makine muhendisligi,2,0.0-2.5,0,Null
887,887,887,uluslararasi ticaret ve isletmecilik,4,2.5-3.0,0,Null
888,888,888,eczacilik,hazirlik,Null,0,Null
889,889,889,endustri muhendisligi,3,2.5-3.0,0,Null
890,890,890,hukuk,2,2.5-3.0,0,Null
891,891,891,tip fakultesi,2,2.5-3.0,0,Null
892,892,892,bilgisayar muhendisligi,4,2.5-3.0,0,Null
893,893,893,biyomedikal muh.,1,Null,0,Null
894,894,894,ingilizce matematik,1,Null,0,Null
895,895,895,endustri muhendisligi,1,3.0-3.5,0,Null
896,896,896,isletme,2,2.5-3.0,0,Null
897,897,897,uluslararasi ticaret ve finans,3,2.5-3.0,0,Null
898,898,898,isletmeingilizce,1,Null,0,Null
899,899,899,makine muhendisligi,3,2.5-3.0,0,Null
900,900,900,endustri muhendisligi,1,Null,0,Null
901,901,901,girisimcilik,3,2.5-3.0,0,Null
902,902,902,hukuk fakultesi,3,2.5-3.0,0,Null
903,903,903,elektronik ve haberlesme muhendisligi,4,0.0-2.5,0,Null
904,904,904,ulastirma ve lojistik,hazirlik,Null,0,Null
905,905,905,peyzaj mimarligi cift anadal mimarlik,3,3.0-4.0,0,Null
906,906,906,bilgisayar muhendisligi,3,3.0-4.0,0,Null
907,907,907,hemsirelik,2,Null,0,Null
908,908,908,mimarlik,1,Null,0,Null
909,909,909,psikoloji,3,2.5-3.0,0,Null
910,910,910,insaat muhendisligi,3,2.5-3.0,0,Null
911,911,911,uluslararasi ticaret ve pazarlama%100 ingilizce ve tam burslu,2,3.0-3.5,0,Null
912,912,912,bilisim sistemleri ve teknolojileri,3,3.0-4.0,0,Null
913,913,913,muhendislik ve doga bilimleri fakultesi,1,Null,0,Null
914,914,914,endustri muhendisligi-uluslararasi ticaret,4,3.0-3.5,0,Null
915,915,915,isletme,2,2.5-3.0,0,Null
916,916,916,girisimcilik,2,0.0-2.5,0,Null
917,917,917,isletme-ekonomi,1,0.0-2.5,0,Null
918,918,918,enerji sistemleri muhendisligi,4,0.0-2.5,0,Null
919,919,919,iletisim tasarimi,1,Null,0,Null
920,920,920,isletme muhendisligi,3,0.0-2.5,0,Null
921,921,921,avrupa birligi iliskileri,1,Null,0,Null
922,922,922,uluslararasi finans,4,3.0-3.5,0,Null
923,923,923,hukuk,2,3.0-3.5,0,Null
924,924,924,uluslararasi lojistik ve tasimacilikingilizce,1,3.0-3.5,0,Null
925,925,925,sabanci universitesi,3,3.0-3.5,0,Null
926,926,926,hukuk,4,0.0-2.5,0,Null
927,927,927,isletme,3,3.0-3.5,0,Null
928,928,928,uluslararasi ticaret ve lojistik,3,3.0-3.5,0,Null
929,929,929,muhasebe ve denetim,4,3.0-3.5,0,Null
930,930,930,hukuk,5,2.5-3.0,0,Null
931,931,931,bilgisayar muhendisligi,4,Null,0,Null
932,932,932,elektronik ve haberlesme muhendisligi,4,0.0-2.5,0,Null
933,933,933,halkla iliskiler ve tanitim,2,2.5-3.0,0,Null
934,934,934,isletme,4,3.0-3.5,0,Null
935,935,935,mekatronik muhendisligi,3,0.0-2.5,0,Null
936,936,936,mimarlik,4,3.0-3.5,0,Null
937,937,937,lise ogrencisiyim,hazirlik,3.0-3.5,0,Null
938,938,938,uluslararasi ticaret ve isletmecilik,2,3.0-3.5,0,Null
939,939,939,bilgisayar muhendisligi,4,0.0-2.5,0,Null
940,940,940,isletme ingilice,3,3.0-3.5,1,Null
941,941,941,isci sagligi ve guvenligi bolumu,3,3.0-3.5,0,Null
942,942,942,cocuk gelisimi,2,3.0-3.5,0,Null
943,943,943,ekonomi finans - uluslararasi iliskiler ikinci anadal,3,3.0-3.5,0,Null
944,944,944,beslenme ve diyetetik,2,3.0-3.5,0,Null
945,945,945,elektrik - elektronik muhendisligi,hazirlik,3.0-4.0,0,Null
946,946,946,uluslararasi ticaret ve isletmecilik,1,2.5-3.0,0,Null
947,947,947,endustri muhendisligi,3,3.0-4.0,0,Null
948,948,948,uluslararasi ticaret ve finans,2,2.5-3.0,0,Null
949,949,949,siyaset bilimi ve kamu yonetimi,3,3.0-4.0,0,Null
950,950,950,bilgisayar muhendisligi,3,3.0-4.0,0,Null
951,951,951,ingilizce isletme,4,3.0-4.0,0,Null
952,952,952,bilgisayar muhendisligi,1,3.0-4.0,0,Null
953,953,953,siyaset bilimi ve kamu yonetimi/sosyoloji cap,3,3.0-4.0,0,Null
954,954,954,tam burslu inglizce insaat muhendisligi,hazirlik,Null,0,Null
955,955,955,ingilizce ogretmenligi,2,3.0-4.0,0,Null
956,956,956,isletme,3,2.5-3.0,0,Null
957,957,957,girisimcilik,3,2.5-3.0,0,Null
958,958,958,hukuk,1,Null,0,Null
959,959,959,turk dili ve edebiyati,1,Null,1,Null
960,960,960,endustri muhendisligi,3,0.0-2.5,0,Null
961,961,961,orman muhendisligi,4,2.5-3.0,0,Null
962,962,962,"radyo, televizyon ve sinema// sosyolojicift anadal",4,3.0-4.0,0,Null
963,963,963,isletme ingilizce,4,2.5-3.0,0,Null
964,964,964,isletme,2,0.0-2.5,0,Null
965,965,965,isletme,4,2.5-3.0,0,Null
966,966,966,psikoloji,2,3.0-3.5,0,Null
967,967,967,elektrik-elektronik muhendisligi,2,0.0-2.5,0,Null
968,968,968,hemsirelik,3,2.5-3.0,0,Null
969,969,969,isletme,3,2.5-3.0,1,Null
970,970,970,iktisat,1,Null,0,Null
971,971,971,ascilik,1,2.5-3.0,0,Null
972,972,972,kontrol ve otomasyon muhendisligi,2,0.0-2.5,0,Null
973,973,973,isletmeingilizce,2,0.0-2.5,0,Null
974,974,974,isletme enformatigi,4,Null,0,Null
975,975,975,halkla iliskiler ve reklamcilik ingilizce,1,3.0-4.0,0,Null
976,976,976,elektrik ve elektronik muhendisligi,hazirlik,Null,0,Null
977,977,977,ekonomi,4,2.5-3.0,0,Null
978,978,978,biyomedikal muhendisligi ing,1,Null,0,Null
979,979,979,tip,2,Null,0,Null
980,980,980,"radyo, televizyon ve sinema / siyaset bilimi ve uluslararasi iliskiler",3,3.0-4.0,0,Null
981,981,981,beslenme ve diyetetik,2,3.0-3.5,0,Null
982,982,982,matematik,3,3.0-4.0,0,Null
983,983,983,matematik,1,Null,0,Null
984,984,984,elektrik elektronik muhendisligi,1,Null,0,Null
985,985,985,siyaset bilimi%100 ingilizce,2,3.0-4.0,0,Null
986,986,986,bilgisayar muhendisligi,1,3.0-4.0,0,Null
987,987,987,endustri ve sistem muhendisligi,1,Null,0,Null
988,988,988,elektrik elektronik muhendisligi,1,Null,0,Null
989,989,989,endustri muhendisligi,1,3.0-3.5,0,Null
990,990,990,endustri muhendisligi,1,Null,0,Null
991,991,991,isletme,4,3.0-3.5,0,Null
992,992,992,bilgisayar muhendisligi,3,0.0-2.5,0,Null
993,993,993,bilgisayar muhendisligi,1,3.0-3.5,0,Null
994,994,994,endustri muhendisligi,4,0.0-2.5,0,Null
995,995,995,endustri muhendisligi,4,0.0-2.5,0,Null
996,996,996,ingilizce isletme,4,0.0-2.5,0,Null
997,997,997,ingilizce mutercim tercumanlik,3,3.0-3.5,0,Null
998,998,998,bilgisayar muhendisligi,2,3.0-3.5,0,Null
999,999,999,muhasebe ve denetim,3,0.0-2.5,0,Null
1000,1000,1000,kentsel tasarim ve peyzaj mimarligi,4,2.5-3.0,0,Null
