index,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
906,universite,emekli,calismiyor,universite,evet,kamu,2
907,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
908,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
909,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
910,ilkokul,evet,ozel sektor,lise,evet,ozel sektor,2
911,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
912,lise,evet,diger,universite,evet,diger,2
913,universite,emekli,calismiyor,universite,evet,ozel sektor,1
914,ilkokul,hayir,calismiyor,lise,evet,kamu,2
915,lise,evet,ozel sektor,universite,evet,kamu,1
916,egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,5
917,ilkokul,hayir,calismiyor,lise,hayir,calismiyor,4
918,ortaokul,hayir,calismiyor,lise,evet,diger,2
919,lise,evet,kamu,universite,emekli,calismiyor,1
920,lise,hayir,calismiyor,lise,emekli,calismiyor,1
921,lise,hayir,calismiyor,lise,evet,ozel sektor,1
922,lise,hayir,calismiyor,lise,hayir,calismiyor,3
923,lise,hayir,kamu,universite,evet,kamu,1
924,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,1
925,universite,evet,diger,universite,evet,ozel sektor,1
926,lise,evet,ozel sektor,ortaokul,evet,ozel sektor,1
927,lise,hayir,calismiyor,egitimi yok,hayir,calismiyor,1
928,lise,hayir,kamu,lise,evet,kamu,2
929,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1
930,lise,hayir,calismiyor,universite,evet,ozel sektor,1
931,lise,emekli,calismiyor,universite,evet,kamu,2
932,lise,hayir,calismiyor,universite,evet,kamu,1
933,ilkokul,evet,ozel sektor,lise,evet,ozel sektor,1
934,ortaokul,hayir,calismiyor,universite,evet,ozel sektor,2
935,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2
936,universite,hayir,calismiyor,universite,evet,ozel sektor,1
937,lise,hayir,calismiyor,lise,evet,ozel sektor,0
938,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
939,ortaokul,hayir,calismiyor,Null,evet,kamu,2
940,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
941,egitimi yok,hayir,calismiyor,ortaokul,emekli,calismiyor,4
942,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
943,lise,hayir,calismiyor,lise,evet,ozel sektor,2
944,ilkokul,hayir,calismiyor,universite,evet,kamu,3
945,universite,evet,kamu,lise,emekli,calismiyor,0
946,ortaokul,emekli,calismiyor,ortaokul,evet,ozel sektor,2
947,universite,evet,ozel sektor,universite,evet,ozel sektor,1
948,egitimi yok,evet,ozel sektor,egitimi yok,hayir,calismiyor,1
949,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
950,lise,hayir,calismiyor,lise,evet,ozel sektor,1
951,universite,evet,ozel sektor,universite,emekli,calismiyor,0
952,lise,evet,diger,universite,evet,kamu,3
953,ilkokul,hayir,calismiyor,universite,evet,kamu,4
954,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,5
955,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
956,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,6
957,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,1
958,universite,emekli,calismiyor,universite,evet,ozel sektor,1
959,ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
960,lise,evet,ozel sektor,Null,hayir,calismiyor,4
961,universite,evet,kamu,ortaokul,evet,ozel sektor,1
962,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
963,universite,emekli,calismiyor,universite,emekli,calismiyor,2
964,ortaokul,emekli,calismiyor,lise,emekli,calismiyor,0
965,universite,hayir,calismiyor,universite,evet,ozel sektor,3
966,ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,2
967,universite,evet,kamu,universite,evet,kamu,1
968,lise,evet,ozel sektor,lise,hayir,calismiyor,2
969,ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
970,ilkokul,hayir,calismiyor,Null,evet,ozel sektor,1
971,ilkokul,evet,diger,lise,emekli,calismiyor,3
972,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
973,lise,hayir,calismiyor,universite,emekli,calismiyor,1
974,ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
975,ortaokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
976,universite,evet,kamu,universite,evet,kamu,2
977,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
978,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
979,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,3
980,lise,hayir,calismiyor,universite,evet,kamu,2
981,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
982,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
983,ilkokul,emekli,calismiyor,ilkokul,hayir,calismiyor,1
984,ilkokul,evet,ozel sektor,ilkokul,emekli,ozel sektor,4
985,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,9
986,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
987,lise,hayir,calismiyor,ilkokul,evet,ozel sektor,1
988,lise,hayir,calismiyor,lise,emekli,calismiyor,1
989,lise,evet,ozel sektor,universite,emekli,calismiyor,1
990,universite,evet,ozel sektor,universite,evet,ozel sektor,0
991,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
992,lise,hayir,calismiyor,lise,emekli,calismiyor,1
993,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,4
994,universite,hayir,calismiyor,universite,emekli,calismiyor,0
995,lise,hayir,calismiyor,universite,evet,ozel sektor,3
996,lise,hayir,calismiyor,lise,evet,ozel sektor,2
997,ilkokul,hayir,calismiyor,ilkokul,evet,diger,1
998,ortaokul,hayir,calismiyor,lise,evet,kamu,4
999,ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
1000,universite,evet,kamu,universite,evet,kamu,0
