Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor
ilkokul,evet,diger,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
universite,hayir,Null,lise,evet,kamu
lise,evet,ozel sektor,ortaokul,hayir,Null
lise,hayir,Null,lise,evet,diger
lise,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,universite,hayir,Null
lise,hayir,Null,lise,hayir,Null
ortaokul,hayir,Null,universite,evet,kamu
ortaokul,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
doktora,evet,kamu,universite,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,kamu
ortaokul,evet,kamu,egitimi yok,evet,kamu
ortaokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,evet,ozel sektor
lise,evet,ozel sektor,lise,evet,ozel sektor
universite,evet,kamu,doktora,evet,ozel sektor
universite,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
lise,evet,diger,lise,evet,kamu
universite,evet,kamu,universite,hayir,Null
universite,evet,ozel sektor,universite,evet,kamu
ilkokul,hayir,Null,lise,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,yuksek lisans,evet,kamu
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,evet,kamu
ortaokul,hayir,Null,lise,evet,ozel sektor
yuksek lisans,evet,kamu,doktora,evet,kamu
universite,hayir,Null,universite,evet,kamu
lise,evet,diger,lise,evet,diger
universite,evet,kamu,universite,hayir,Null
lise,evet,ozel sektor,universite,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,universite,hayir,Null
lise,hayir,Null,lise,evet,kamu
lise,evet,ozel sektor,lise,evet,ozel sektor
universite,evet,kamu,lise,evet,kamu
lise,hayir,Null,lise,evet,kamu
egitimi yok,hayir,Null,universite,evet,ozel sektor
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,universite,hayir,Null
ortaokul,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,evet,kamu
ortaokul,hayir,Null,lise,hayir,Null
yuksek lisans,evet,ozel sektor,doktora,evet,kamu
lise,evet,kamu,lise,hayir,Null
lise,evet,kamu,ilkokul,hayir,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
universite,hayir,Null,universite,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,kamu
lise,hayir,Null,universite,evet,ozel sektor
yuksek lisans,hayir,Null,universite,evet,ozel sektor
lise,hayir,Null,universite,evet,kamu
lise,evet,kamu,lise,evet,kamu
universite,evet,kamu,universite,hayir,Null
lise,hayir,Null,lise,evet,kamu
lise,hayir,Null,lise,evet,kamu
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,evet,ozel sektor,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,universite,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
universite,evet,kamu,universite,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,evet,diger,ilkokul,evet,diger
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,ortaokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
universite,hayir,Null,universite,hayir,Null
universite,evet,kamu,universite,evet,kamu
universite,evet,kamu,universite,evet,kamu
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,evet,ozel sektor,universite,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,ozel sektor
universite,evet,kamu,universite,hayir,Null
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
universite,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,hayir,Null
universite,evet,kamu,universite,evet,kamu
lise,evet,ozel sektor,lise,hayir,Null
universite,evet,kamu,universite,evet,kamu
universite,evet,ozel sektor,universite,evet,diger
ortaokul,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
egitimi yok,evet,diger,egitimi yok,evet,diger
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,universite,hayir,Null
ortaokul,evet,diger,universite,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,evet,ozel sektor,doktora,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,evet,ozel sektor,lise,evet,diger
universite,evet,kamu,universite,evet,ozel sektor
universite,hayir,Null,yuksek lisans,evet,ozel sektor
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,evet,ozel sektor,lise,hayir,Null
universite,hayir,Null,universite,evet,ozel sektor
universite,hayir,Null,lise,hayir,Null
universite,evet,ozel sektor,Null,hayir,Null
lise,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,evet,ozel sektor,universite,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,evet,kamu
ortaokul,evet,diger,lise,evet,ozel sektor
Null,hayir,Null,ilkokul,evet,ozel sektor
universite,evet,ozel sektor,lise,evet,ozel sektor
lise,evet,ozel sektor,lise,evet,ozel sektor
lise,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ortaokul,hayir,Null
egitimi yok,hayir,Null,lise,evet,kamu
ortaokul,hayir,Null,ortaokul,evet,diger
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ortaokul,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,evet,ozel sektor,universite,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,universite,hayir,Null
universite,evet,ozel sektor,universite,evet,kamu
lise,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,universite,hayir,Null
universite,evet,kamu,universite,hayir,Null
lise,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,hayir,Null
lise,evet,ozel sektor,universite,evet,kamu
lise,evet,ozel sektor,lise,evet,ozel sektor
yuksek lisans,evet,kamu,yuksek lisans,evet,ozel sektor
universite,evet,ozel sektor,lise,evet,ozel sektor
universite,evet,kamu,universite,hayir,Null
universite,evet,kamu,universite,evet,kamu
ortaokul,evet,ozel sektor,ortaokul,evet,diger
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
universite,hayir,Null,universite,evet,kamu
yuksek lisans,evet,kamu,ortaokul,evet,kamu
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,lise,evet,kamu
egitimi yok,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ortaokul,evet,diger
lise,evet,ozel sektor,lise,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
ilkokul,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ortaokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
Null,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,evet,ozel sektor,lise,hayir,Null
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,diger
lise,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,Null,hayir,Null
universite,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
ortaokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,universite,hayir,Null
ortaokul,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
universite,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,evet,kamu
egitimi yok,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
universite,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,evet,diger
lise,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
universite,evet,ozel sektor,lise,evet,kamu
ilkokul,hayir,Null,ortaokul,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,universite,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,yuksek lisans,evet,diger
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
universite,evet,ozel sektor,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,universite,evet,kamu
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,universite,evet,diger
ortaokul,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,universite,evet,kamu
universite,hayir,Null,yuksek lisans,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
universite,hayir,Null,universite,hayir,Null
universite,evet,ozel sektor,universite,evet,diger
ortaokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,egitimi yok,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,universite,evet,kamu
lise,evet,kamu,lise,hayir,Null
universite,hayir,Null,universite,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
universite,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,evet,diger,ilkokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,evet,diger,lise,evet,diger
egitimi yok,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,kamu
lise,evet,ozel sektor,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,universite,hayir,Null
lise,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
lise,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,lise,evet,diger
lise,evet,ozel sektor,ortaokul,evet,ozel sektor
ortaokul,evet,ozel sektor,lise,evet,diger
ilkokul,hayir,Null,ortaokul,hayir,Null
ilkokul,evet,ozel sektor,lise,evet,diger
universite,evet,ozel sektor,lise,evet,ozel sektor
universite,evet,ozel sektor,universite,evet,diger
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
lise,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,universite,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,yuksek lisans,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
universite,hayir,Null,yuksek lisans,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,evet,kamu,universite,evet,kamu
ortaokul,hayir,Null,lise,hayir,Null
egitimi yok,hayir,Null,lise,evet,kamu
lise,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,lise,hayir,Null
ortaokul,evet,ozel sektor,egitimi yok,hayir,Null
universite,evet,ozel sektor,lise,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,ortaokul,evet,ozel sektor
universite,hayir,Null,universite,hayir,Null
lise,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,ortaokul,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ortaokul,evet,diger
ilkokul,evet,ozel sektor,ortaokul,evet,diger
ortaokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
universite,hayir,Null,universite,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
lise,evet,kamu,lise,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,kamu
lise,hayir,Null,lise,hayir,Null
ortaokul,evet,ozel sektor,universite,hayir,Null
lise,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,universite,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
ilkokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,kamu
egitimi yok,hayir,Null,ortaokul,hayir,Null
universite,evet,kamu,universite,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
ortaokul,hayir,Null,ilkokul,evet,ozel sektor
universite,hayir,Null,ortaokul,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,lise,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ilkokul,evet,diger
ortaokul,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,lise,evet,diger
lise,hayir,Null,ortaokul,evet,diger
lise,evet,ozel sektor,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,universite,hayir,Null
universite,hayir,Null,universite,hayir,Null
egitimi yok,hayir,Null,egitimi yok,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ortaokul,hayir,Null
universite,hayir,Null,doktora,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
yuksek lisans,evet,kamu,universite,evet,kamu
universite,hayir,Null,universite,hayir,Null
lise,evet,ozel sektor,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,evet,ozel sektor,ortaokul,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,lise,hayir,Null
lise,evet,kamu,lise,evet,kamu
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,evet,ozel sektor,ortaokul,evet,ozel sektor
lise,hayir,Null,lise,evet,diger
ortaokul,evet,ozel sektor,lise,evet,kamu
lise,evet,ozel sektor,ortaokul,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,universite,evet,kamu
universite,hayir,Null,universite,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,yuksek lisans,evet,kamu
universite,evet,ozel sektor,universite,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
ortaokul,evet,kamu,egitimi yok,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,kamu
ilkokul,hayir,Null,ortaokul,hayir,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,universite,evet,kamu
universite,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
universite,evet,ozel sektor,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,kamu
lise,evet,ozel sektor,universite,evet,kamu
egitimi yok,hayir,Null,lise,evet,kamu
lise,evet,ozel sektor,lise,evet,ozel sektor
universite,hayir,Null,universite,evet,ozel sektor
lise,hayir,Null,ilkokul,hayir,Null
yuksek lisans,evet,ozel sektor,universite,hayir,Null
universite,evet,ozel sektor,universite,evet,ozel sektor
universite,evet,kamu,universite,evet,diger
universite,hayir,Null,universite,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,universite,evet,ozel sektor
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,diger
ortaokul,hayir,Null,ortaokul,evet,ozel sektor
ortaokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ortaokul,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
ortaokul,hayir,Null,ortaokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
universite,evet,kamu,universite,evet,ozel sektor
lise,evet,kamu,universite,evet,kamu
lise,hayir,Null,ortaokul,evet,ozel sektor
universite,evet,kamu,universite,hayir,Null
universite,evet,kamu,universite,evet,ozel sektor
lise,evet,kamu,lise,hayir,Null
universite,hayir,Null,universite,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,hayir,Null
egitimi yok,hayir,Null,ortaokul,evet,ozel sektor
lise,hayir,Null,ortaokul,evet,diger
egitimi yok,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ilkokul,evet,diger
egitimi yok,hayir,Null,egitimi yok,hayir,Null
universite,evet,kamu,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,evet,diger,ortaokul,evet,diger
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,evet,diger
ortaokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
universite,evet,diger,Null,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,lise,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
universite,hayir,Null,lise,hayir,Null
lise,evet,ozel sektor,lise,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,ortaokul,hayir,Null
lise,evet,ozel sektor,ortaokul,evet,diger
universite,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
lise,evet,ozel sektor,lise,hayir,Null
lise,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,universite,hayir,Null
ilkokul,evet,ozel sektor,lise,evet,kamu
universite,evet,kamu,universite,hayir,Null
universite,evet,ozel sektor,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,kamu
universite,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
universite,hayir,Null,universite,evet,ozel sektor
universite,evet,kamu,universite,evet,ozel sektor
universite,evet,ozel sektor,yuksek lisans,evet,kamu
ilkokul,hayir,Null,ortaokul,hayir,Null
lise,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,evet,kamu
universite,evet,kamu,Null,evet,ozel sektor
ortaokul,hayir,Null,lise,evet,kamu
ilkokul,hayir,Null,ortaokul,hayir,Null
lise,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,universite,hayir,Null
lise,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,lise,hayir,Null
universite,hayir,Null,universite,hayir,Null
ilkokul,evet,diger,lise,evet,kamu
ilkokul,hayir,Null,universite,evet,kamu
lise,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,Null,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,kamu
ilkokul,hayir,Null,lise,evet,kamu
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,universite,hayir,Null
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,lise,hayir,Null
lise,evet,diger,yuksek lisans,evet,kamu
lise,hayir,Null,universite,evet,ozel sektor
ortaokul,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,universite,evet,kamu
ilkokul,evet,ozel sektor,lise,hayir,Null
ilkokul,evet,ozel sektor,ortaokul,hayir,Null
