Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
makine muhendisligi,1,0.00 - 2.50,,
bilgisayar muhendisligi,1,0.00 - 2.50,,
makine muhendisligi,2,0.00 - 2.50,,
tip,2,Not Yok,,
sinif ogretmenligi,2,2.50 - 3.00,,
rehberlik ve psikolojik danismanlik(ikinci ogretim),3,3.00 - 3.50,,
bilgisayar muhendisligi,4,0.00 - 2.50,,
isletme,4,0.00 - 2.50,,
"radyo, televizyon ve sinema",1,3.00 - 3.50,,
bilgisayar muhendisligi(ikinci ogretim),2,0.00 - 2.50,,
halkla iliskiler ve tanitim(uzaktan egitim),3,3.00 - 4.00,,
veterinerlik,1,2.50 - 3.00,,
uluslararasi iliskiler,3,2.50 - 3.00,,
isletme,2,0.00 - 2.50,,
maliye,2,2.50 - 3.00,,
bilgisayar muhendisligi,2,3.00 - 4.00,,
spor yoneticiligi (yuksekokul),2,2.50 - 3.00,,
ilkogretim matematik ogretmenligi,2,3.00 - 4.00,,
endustri muhendisligi(ingilizce),1,Not Yok,,
hukuk,2,2.50 - 3.00,,
isletme(ingilizce),2,3.00 - 3.50,,
isletme,3,0.00 - 2.50,,
harita muhendisligi(ikinci ogretim),3,0.00 - 2.50,,
radyo ve televizyon,2,3.00 - 4.00,,
makine muhendisligi,3,2.50 - 3.00,,
"radyo, televizyon ve sinema",2,0.00 - 2.50,,
elektrik-elektronik muhendisligi,1,0.00 - 2.50,,
tarih,4,0.00 - 2.50,,
bilgisayar muhendisligi(ikinci ogretim),2,0.00 - 2.50,,
matematik muhendisligi(ikinci ogretim),4,2.50 - 3.00,,
bilgisayar muhendisligi,4,0.00 - 2.50,,
ilkogretim matematik ogretmenligi,3,0.00 - 2.50,,
kamu yonetimi,2,Not Yok,,
makine muhendisligi,1,3.00 - 3.50,,
elektronik ve haberlesme muhendisligi,1,3.00 - 3.50,,
antropoloji,3,2.50 - 3.00,,
calisma ekonomisi ve endustri iliskileri,3,0.00 - 2.50,,
makine muhendisligi,1,Not Yok,,
tarih,3,2.50 - 3.00,,
hemsirelik (fakulte),4,0.00 - 2.50,,
aktuerya (yuksekokul),3,3.00 - 3.50,,
dilbilim,2,0.00 - 2.50,,
endustri muhendisligi(ingilizce),2,0.00 - 2.50,,
saglik yonetimi (yuksekokul),3,3.00 - 3.50,,
hukuk,4,2.50 - 3.00,,
okul oncesi ogretmenligi(ikinci ogretim),4,3.00 - 3.50,,
gazetecilik,1,2.50 - 3.00,,
isletme,4,3.00 - 3.50,,
biyomuhendislik,4,0.00 - 2.50,,
toprak bilimi ve bitki besleme,4,0.00 - 2.50,,
bilgisayar ve ogretim teknolojileri ogretmenligi,1,0.00 - 2.50,,
diger,1,,,
hemsirelik (fakulte),4,0.00 - 2.50,,
rehberlik ve psikolojik danismanlik,3,2.50 - 3.00,,
sosyal hizmet (fakulte),3,3.00 - 3.50,,
isletme(ikinci ogretim),2,0.00 - 2.50,,
imalat muhendisligi,3,0.00 - 2.50,,
amerikan kulturu ve edebiyati,4,0.00 - 2.50,,
isletme,4,3.00 - 3.50,,
sosyoloji,4,3.00 - 3.50,,
isletme muhendisligi,3,3.00 - 3.50,,
isletme,4,2.50 - 3.00,,
isletme,1,Not Yok,,
diger,1,2.50 - 3.00,,
uluslararasi iliskiler,3,0.00 - 2.50,,
kimya,hazirlik,Not Yok,,
iktisat(ingilizce),3,3.00 - 3.50,,
makine muhendisligi,4,0.00 - 2.50,,
iktisat(turkce),4,0.00 - 2.50,,
elektrik-elektronik muhendisligi(ingilizce),1,2.50 - 3.00,,
sinif ogretmenligi,1,Not Yok,,
tip,5,2.50 - 3.00,,
endustri muhendisligi,3,0.00 - 2.50,,
hemsirelik (fakulte),2,0.00 - 2.50,,
tip,3,3.00 - 3.50,,
isletme(turkce),2,3.00 - 3.50,,
sinema ve televizyon,3,3.00 - 4.00,,
fizyoterapi ve rehabilitasyon (yuksekokul),1,2.50 - 3.00,,
matematik,4,0.00 - 2.50,,
elektrik muhendisligi,2,3.00 - 3.50,,
isletme,4,0.00 - 2.50,,
mimarlik,4,3.00 - 3.50,,
diger,1,2.50 - 3.00,,
tip,2,Not Yok,,
makine muhendisligi,2,0.00 - 2.50,,
isletme,3,0.00 - 2.50,,
bilgisayar muhendisligi(ingilizce),1,Not Yok,,
makine muhendisligi,4,3.00 - 3.50,,
hukuk,2,3.00 - 3.50,,
tip,1,3.00 - 3.50,,
turkce ogretmenligi,3,3.00 - 3.50,,
uluslararasi ticaret ve finansman,3,2.50 - 3.00,,
isletme(ingilizce),3,2.50 - 3.00,,
isletme(ingilizce),1,0.00 - 2.50,,
isletme(ingilizce),2,2.50 - 3.00,,
makine muhendisligi,2,2.50 - 3.00,,
yazilim muhendisligi,4,2.50 - 3.00,,
iktisat,2,0.00 - 2.50,,
iktisat,2,2.50 - 3.00,,
turizm isletmeciligi (fakulte),3,0.00 - 2.50,,
endustri muhendisligi,4,2.50 - 3.00,,
bilgisayar muhendisligi (teknoloji fakultesi),2,0.00 - 2.50,,
metalurji ve malzeme muhendisligi (m.t.o.k.),2,0.00 - 2.50,,
yazilim muhendisligi (m.t.o.k.),hazirlik,Not Yok,,
ilkogretim matematik ogretmenligi,2,3.00 - 3.50,,
tip,1,Not Yok,,
diger,2,0.00 - 2.50,,
mimarlik,1,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,4,3.00 - 3.50,,
tip,3,0.00 - 2.50,,
makine muhendisligi,2,3.00 - 3.50,,
hukuk,3,0.00 - 2.50,,
isletme,4,0.00 - 2.50,,
ilahiyat,3,0.00 - 2.50,,
isletme,4,2.50 - 3.00,,
,2,,,
gemi insaati ve gemi makineleri muhendisligi(ingilizce),3,0.00 - 2.50,,
sivil hava ulastirma isletmeciligi (fakulte),1,2.50 - 3.00,,
hemsirelik (fakulte),1,Not Yok,,
rehberlik ve psikolojik danismanlik,1,3.00 - 3.50,,
hemsirelik (fakulte),1,2.50 - 3.00,,
endustriyel tasarim,2,2.50 - 3.00,,
mimarlik,1,3.00 - 3.50,,
maden muhendisligi,3,3.00 - 3.50,,
hemsirelik (fakulte),2,2.50 - 3.00,,
mimarlik,3,2.50 - 3.00,,
halkla iliskiler ve reklamcilik (fakulte),3,3.00 - 3.50,,
bilgisayar muhendisligi(ingilizce),1,0.00 - 2.50,,
yazilim muhendisligi,2,0.00 - 2.50,,
okul oncesi ogretmenligi,2,2.50 - 3.00,,
elektronik ve haberlesme muhendisligi(ingilizce),1,Not Yok,,
endustri muhendisligi,2,0.00 - 2.50,,
makine muhendisligi (m.t.o.k.)(ikinci ogretim),2,2.50 - 3.00,,
insaat muhendisligi,2,3.00 - 3.50,,
makine muhendisligi,1,2.50 - 3.00,,
isletme(turkce),4,3.00 - 3.50,,
hukuk,1,0.00 - 2.50,,
bilgisayar muhendisligi(ikinci ogretim),1,0.00 - 2.50,,
insaat muhendisligi,4,2.50 - 3.00,,
isletme,1,0.00 - 2.50,,
bilgisayar muhendisligi,3,0.00 - 2.50,,
makine muhendisligi,6,0.00 - 2.50,,
yazilim muhendisligi (m.t.o.k.)(ikinci ogretim),hazirlik,Not Yok,,
isletme,2,0.00 - 2.50,,
iktisat(ingilizce),1,2.50 - 3.00,,
insaat muhendisligi,2,2.50 - 3.00,,
elektrik-elektronik muhendisligi,3,0.00 - 2.50,,
metalurji ve malzeme muhendisligi (teknoloji fakultesi),3,0.00 - 2.50,,
bilgisayar muhendisligi,3,0.00 - 2.50,,
iktisat(ingilizce),1,Not Yok,,
hukuk,2,3.00 - 3.50,,
insaat muhendisligi,2,3.00 - 3.50,,
maden muhendisligi,4,0.00 - 2.50,,
makine muhendisligi(ingilizce),hazirlik,3.00 - 3.50,,
bankacilik ve finans (yuksekokul),3,2.50 - 3.00,,
istatistik,2,0.00 - 2.50,,
rehberlik ve psikolojik danismanlik,3,0.00 - 2.50,,
endustri muhendisligi(ikinci ogretim),2,2.50 - 3.00,,
makine muhendisligi,2,2.50 - 3.00,,
kamu yonetimi,2,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,4,0.00 - 2.50,,
insaat muhendisligi(ingilizce)(%25 burslu),2,2.50 - 3.00,,
insaat muhendisligi (teknoloji fakultesi),2,2.50 - 3.00,,
diger,2,0.00 - 2.50,,
elektronik muhendisligi,1,2.50 - 3.00,,
tip,2,3.00 - 3.50,,
muhasebe ve finans yonetimi,2,0.00 - 2.50,,
isletme,2,Not Yok,,
bilgisayar muhendisligi(ingilizce),3,2.50 - 3.00,,
diger,2,0.00 - 2.50,,
hukuk,1,2.50 - 3.00,,
elektrik-elektronik muhendisligi,4,2.50 - 3.00,,
dis hekimligi,2,Not Yok,,
veterinerlik,3,0.00 - 2.50,,
maliye(ikinci ogretim),3,0.00 - 2.50,,
iktisat(ingilizce),4,3.00 - 3.50,,
gemi insaati ve gemi makineleri muhendisligi,2,0.00 - 2.50,,
makine muhendisligi,4,2.50 - 3.00,,
maliye,4,2.50 - 3.00,,
siyaset bilimi,3,0.00 - 2.50,,
spor yoneticiligi (yuksekokul),2,2.50 - 3.00,,
turizm isletmeciligi ve otelcilik (yuksekokul)(ikinci ogretim),1,0.00 - 2.50,,
makine muhendisligi (m.t.o.k.)(ikinci ogretim),4,2.50 - 3.00,,
elektrik-elektronik muhendisligi,2,2.50 - 3.00,,
kontrol ve otomasyon muhendisligi,2,0.00 - 2.50,,
spor yoneticiligi (yuksekokul)(ikinci ogretim),2,2.50 - 3.00,,
hukuk,1,Not Yok,,
bilgisayar muhendisligi,3,0.00 - 2.50,,
harita muhendisligi,2,0.00 - 2.50,,
petrol ve dogalgaz muhendisligi,2,0.00 - 2.50,,
isletme(iktisat fakultesi),2,0.00 - 2.50,,
hemsirelik (yuksekokul),2,3.00 - 3.50,,
"radyo, televizyon ve sinema",5,3.00 - 4.00,,
mimarlik,2,0.00 - 2.50,,
insaat muhendisligi,4,2.50 - 3.00,,
uluslararasi ticaret ve lojistik (fakulte),3,2.50 - 3.00,,
peyzaj mimarligi,2,2.50 - 3.00,,
bahce bitkileri,1,3.00 - 4.00,,
diger,1,3.00 - 3.50,,
iktisat(ingilizce),2,0.00 - 2.50,,
gida muhendisligi,3,2.50 - 3.00,,
uluslararasi iliskiler,4,0.00 - 2.50,,
kimya,1,Not Yok,,
calisma ekonomisi ve endustri iliskileri,2,2.50 - 3.00,,
endustri muhendisligi(ingilizce),1,2.50 - 3.00,,
endustri urunleri tasarimi,2,2.50 - 3.00,,
cocuk gelisimi (fakulte),2,0.00 - 2.50,,
okul oncesi ogretmenligi,2,2.50 - 3.00,,
isletme,4,0.00 - 2.50,,
okul oncesi ogretmenligi,4,2.50 - 3.00,,
felsefe(ikinci ogretim),2,0.00 - 2.50,,
harita muhendisligi,2,0.00 - 2.50,,
kamu yonetimi,1,Not Yok,,
eczacilik,1,,,
isletme(ingilizce),4,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,2,Not Yok,,
endustri muhendisligi,3,2.50 - 3.00,,
eczacilik,5,2.50 - 3.00,,
istatistik,3,0.00 - 2.50,,
hukuk,2,,,
ekonometri,2,Not Yok,,
uluslararasi ticaret ve lojistik (yuksekokul),3,0.00 - 2.50,,
rehberlik ve psikolojik danismanlik,2,2.50 - 3.00,,
cografya(ikinci ogretim),2,2.50 - 3.00,,
isletme,4,2.50 - 3.00,,
ebelik (fakulte),2,2.50 - 3.00,,
hukuk,2,Not Yok,,
diger,1,3.00 - 4.00,,
mekatronik muhendisligi (m.t.o.k.),3,0.00 - 2.50,,
,2,Not Yok,,
iktisat,3,3.00 - 3.50,,
diger,2,2.50 - 3.00,,
ekonomi(ingilizce),2,3.00 - 4.00,,
elektrik-elektronik muhendisligi,2,3.00 - 4.00,,
harita muhendisligi,4,0.00 - 2.50,,
tip,2,2.50 - 3.00,,
molekuler biyoloji ve genetik(ingilizce),2,3.00 - 3.50,,
isletme muhendisligi,3,2.50 - 3.00,,
ingilizce ogretmenligi(elt),4,3.00 - 3.50,,
iktisat(ingilizce),1,Not Yok,,
hemsirelik (yuksekokul),2,2.50 - 3.00,,
maliye,2,3.00 - 3.50,,
bilgisayar muhendisligi,1,2.50 - 3.00,,
cografya(ikinci ogretim),3,2.50 - 3.00,,
hukuk,3,0.00 - 2.50,,
isletme,1,3.00 - 4.00,,
tip(cerrahpasa),2,2.50 - 3.00,,
maliye,2,2.50 - 3.00,,
bilgisayar muhendisligi,hazirlik,Not Yok,,
iktisat(ikinci ogretim),3,0.00 - 2.50,,
diger,2,0.00 - 2.50,,
moda tasarimi (yuksekokul)(ikinci ogretim),1,3.00 - 4.00,,
siyaset bilimi ve kamu yonetimi(ingilizce),2,0.00 - 2.50,,
halkla iliskiler ve reklamcilik (fakulte),4,3.00 - 3.50,,
felsefe(ingilizce),1,Not Yok,,
tip,2,2.50 - 3.00,,
kamu yonetimi,2,0.00 - 2.50,,
elektronik ve haberlesme muhendisligi(ingilizce),2,0.00 - 2.50,,
uluslararasi iliskiler(ingilizce),2,0.00 - 2.50,,
uluslararasi ticaret ve lojistik (fakulte),3,3.00 - 3.50,,
isletme,3,2.50 - 3.00,,
tip(istanbul),2,2.50 - 3.00,,
isletme,3,0.00 - 2.50,,
maliye(ikinci ogretim),2,2.50 - 3.00,,
elektrik-elektronik muhendisligi(ikinci ogretim),2,0.00 - 2.50,,
fen bilgisi ogretmenligi,2,0.00 - 2.50,,
gida muhendisligi(ingilizce),1,0.00 - 2.50,,
sanat tarihi,1,2.50 - 3.00,,
sosyal bilgiler ogretmenligi,2,2.50 - 3.00,,
kimya muhendisligi,2,0.00 - 2.50,,
siyaset bilimi ve uluslararasi iliskiler(ingilizce),2,3.00 - 4.00,,
gorsel iletisim tasarimi,3,2.50 - 3.00,,
acil yardim ve afet yonetimi (yuksekokul),2,2.50 - 3.00,,
bilgisayar ve ogretim teknolojileri ogretmenligi,1,2.50 - 3.00,,
ilahiyat,2,0.00 - 2.50,,
iktisat(ikinci ogretim),2,0.00 - 2.50,,
hukuk,2,0.00 - 2.50,,
basin ve yayin,4,2.50 - 3.00,,
calisma ekonomisi ve endustri iliskileri(ikinci ogretim),4,2.50 - 3.00,,
bilgisayar muhendisligi(ingilizce),3,2.50 - 3.00,,
matematik,2,,,
sosyoloji,3,2.50 - 3.00,,
tip,2,3.00 - 3.50,,
muhasebe (yuksekokul),2,0.00 - 2.50,,
maliye(ikinci ogretim),2,0.00 - 2.50,,
iktisat,2,2.50 - 3.00,,
makine muhendisligi (teknoloji fakultesi),3,0.00 - 2.50,,
calisma ekonomisi ve endustri iliskileri,2,2.50 - 3.00,,
sanat tarihi,4,3.00 - 3.50,,
diger,1,0.00 - 2.50,,
ilahiyat(ikinci ogretim),2,3.00 - 3.50,,
beslenme ve diyetetik (fakulte),1,2.50 - 3.00,,
isletme(ingilizce),1,2.50 - 3.00,,
fen bilgisi ogretmenligi,4,2.50 - 3.00,,
endustri muhendisligi,1,0.00 - 2.50,,
ekonomi ve finans,2,0.00 - 2.50,,
ingiliz dili ve edebiyati,2,2.50 - 3.00,,
eczacilik,2,2.50 - 3.00,,
istatistik,3,0.00 - 2.50,,
bilgisayar muhendisligi(ingilizce),4,3.00 - 3.50,,
ilahiyat,1,3.00 - 4.00,,
bilgisayar ve ogretim teknolojileri ogretmenligi(ingilizce),1,2.50 - 3.00,,
fizyoterapi ve rehabilitasyon (fakulte)(tam burslu),2,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi(ingilizce),1,Not Yok,,
ic mimarlik ve cevre tasarimi,1,Not Yok,,
psikoloji,3,3.00 - 4.00,,
elektrik-elektronik muhendisligi(ingilizce),2,3.00 - 4.00,,
biyomuhendislik(ingilizce),2,0.00 - 2.50,,
elektrik muhendisligi(ingilizce),2,3.00 - 4.00,,
isletme,4,2.50 - 3.00,,
bilgisayar muhendisligi(ikinci ogretim),3,2.50 - 3.00,,
hukuk,5,0.00 - 2.50,,
endustri muhendisligi,2,3.00 - 3.50,,
ilahiyat,2,0.00 - 2.50,,
isletme(ingilizce),3,2.50 - 3.00,,
mimarlik,2,2.50 - 3.00,,
endustri muhendisligi,3,3.00 - 3.50,,
sosyal hizmet (fakulte),4,3.00 - 3.50,,
hukuk,3,2.50 - 3.00,,
mimarlik,2,3.00 - 3.50,,
ebelik (yuksekokul),2,2.50 - 3.00,,
peyzaj mimarligi,4,3.00 - 3.50,,
insaat muhendisligi,4,0.00 - 2.50,,
isletme(almanca),4,3.00 - 3.50,,
gazetecilik,2,3.00 - 4.00,,
ingiliz dili ve edebiyati,2,0.00 - 2.50,,
el sanatlari tasarimi ve uretimi (m.t.o.k.),2,3.00 - 3.50,,
tip(ingilizce),4,0.00 - 2.50,,
makine muhendisligi,1,0.00 - 2.50,,
makine muhendisligi,2,3.00 - 3.50,,
eczacilik,2,2.50 - 3.00,,
hukuk,hazirlik,Not Yok,,
siyaset bilimi ve kamu yonetimi(ingilizce),4,3.00 - 4.00,,
gazetecilik,2,3.00 - 3.50,,
halkla iliskiler ve tanitim,2,2.50 - 3.00,,
cin dili ve edebiyati,2,3.00 - 3.50,,
endustri muhendisligi,4,3.00 - 3.50,,
astronomi ve uzay bilimleri,4,2.50 - 3.00,,
maliye,2,3.00 - 3.50,,
mimarlik,2,3.00 - 4.00,,
tip,4,3.00 - 3.50,hayir,
fizyoterapi ve rehabilitasyon (fakulte)(tam burslu),3,3.00 - 3.50,hayir,
matematik muhendisligi,2,3.50 - 4.00,hayir,
psikoloji(ingilizce),3,2.50 - 3.00,hayir,
dis hekimligi,5,3.00 - 3.50,hayir,
tarih ogretmenligi,3,3.00 - 3.50,hayir,
diger,3,3.00 - 3.50,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
iktisat(ingilizce),4,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,4,3.00 - 3.50,hayir,
maliye,4,3.00 - 3.50,hayir,
gida muhendisligi(ingilizce),4,2.50 - 3.00,hayir,
bilgisayar muhendisligi(ingilizce),2,2.50 - 3.00,hayir,
makine muhendisligi,3,0.00 - 2.50,hayir,
diger,2,3.00 - 3.50,hayir,
isletme bilgi yonetimi (yuksekokul),3,2.50 - 3.00,hayir,
iktisat(ingilizce),3,2.50 - 3.00,hayir,
makine muhendisligi(ingilizce),3,0.00 - 2.50,hayir,
insaat muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
insaat muhendisligi,4,2.50 - 3.00,hayir,
iktisat(ingilizce),4,0.00 - 2.50,hayir,
fizyoterapi ve rehabilitasyon (fakulte),1,2.50 - 3.00,hayir,
hukuk,4,3.50 - 4.00,hayir,
diger,3,2.50 - 3.00,hayir,
iktisat,4,0.00 - 2.50,hayir,
endustri muhendisligi(ingilizce),4,3.00 - 3.50,hayir,
makine muhendisligi(ingilizce),3,2.50 - 3.00,hayir,
isletme,3,0.00 - 2.50,hayir,
tip,2,3.00 - 3.50,hayir,
endustri muhendisligi,4,3.00 - 3.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi,4,3.00 - 3.50,hayir,
molekuler biyoloji ve genetik,3,3.00 - 3.50,hayir,
metalurji ve malzeme muhendisligi(ingilizce),4,3.00 - 3.50,hayir,
isletme(ingilizce),3,3.00 - 3.50,hayir,
isletme muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi(ingilizce),2,2.50 - 3.00,hayir,
rehberlik ve psikolojik danismanlik,3,3.00 - 3.50,hayir,
endustri muhendisligi(ingilizce),3,0.00 - 2.50,hayir,
endustri muhendisligi(ingilizce),3,0.00 - 2.50,hayir,
odyoloji,4,2.50 - 3.00,hayir,
isletme,3,0.00 - 2.50,hayir,
denizcilik isletmeleri yonetimi (fakulte)(ingilizce),3,2.50 - 3.00,hayir,
makine muhendisligi,4,0.00 - 2.50,hayir,
kimya muhendisligi(ingilizce),3,0.00 - 2.50,hayir,
turk dili ve edebiyati,3,2.50 - 3.00,hayir,
molekuler biyoloji ve genetik(ingilizce),4,0.00 - 2.50,hayir,
elektrik-elektronik muhendisligi(ingilizce),4,3.50 - 4.00,hayir,
isletme(ingilizce),4,3.50 - 4.00,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
isletme(ingilizce),2,0.00 - 2.50,hayir,
insaat muhendisligi,3,2.50 - 3.00,hayir,
kimya,2,0.00 - 2.50,hayir,
uluslararasi iliskiler,3,2.50 - 3.00,hayir,
makine muhendisligi,4,2.50 - 3.00,hayir,
endustri muhendisligi,5,3.00 - 3.50,hayir,
biyomuhendislik,4,0.00 - 2.50,hayir,
metalurji ve malzeme muhendisligi,2,3.00 - 3.50,hayir,
ekonomi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi(ingilizce),3,3.00 - 3.50,hayir,
isletme,4,2.50 - 3.00,hayir,
matematik(ingilizce),1,0.00 - 2.50,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
makine muhendisligi(ikinci ogretim),3,0.00 - 2.50,hayir,
diger,3,3.00 - 3.50,hayir,
makine muhendisligi(ingilizce),1,Not Yok,evet,istanbul universitesi
tarih(%50 burslu),3,0.00 - 2.50,evet,
"radyo, televizyon ve sinema",2,2.50 - 3.00,hayir,
isletme muhendisligi(ingilizce),4,3.50 - 4.00,hayir,
makine muhendisligi(ingilizce),4,3.00 - 3.50,hayir,
ingilizce ogretmenligi,4,3.00 - 3.50,hayir,
tip,4,3.00 - 3.50,hayir,
ingilizce ogretmenligi(elt),2,3.00 - 3.50,hayir,
ekonomi(ingilizce),3,2.50 - 3.00,hayir,
makine muhendisligi(ingilizce),2,3.00 - 3.50,hayir,
yonetim bilisim sistemleri (fakulte),4,3.00 - 3.50,hayir,
dis hekimligi,4,3.00 - 3.50,hayir,
turizm isletmeciligi (fakulte),3,3.00 - 3.50,hayir,
biyomedikal muhendisligi,3,0.00 - 2.50,hayir,
tip(ingilizce),2,2.50 - 3.00,hayir,
arkeoloji,4,0.00 - 2.50,hayir,
iktisat(ingilizce),1,3.50 - 4.00,hayir,
isletme,2,0.00 - 2.50,hayir,
metalurji ve malzeme muhendisligi,3,2.50 - 3.00,hayir,
isletme,4,2.50 - 3.00,hayir,
bilisim sistemleri ve teknolojileri (yuksekokul),2,3.00 - 3.50,hayir,
insaat muhendisligi,4,3.50 - 4.00,hayir,
isletme muhendisligi,2,3.00 - 3.50,hayir,
isletme,4,3.00 - 3.50,hayir,
tip(ingilizce),3,2.50 - 3.00,hayir,
mimarlik,4,3.00 - 3.50,hayir,
dis hekimligi,2,3.00 - 3.50,hayir,
bilgisayar muhendisligi(ingilizce),4,0.00 - 2.50,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
muhendislik ve doga bilimleri programlari,1,3.50 - 4.00,hayir,
hukuk,2,3.00 - 3.50,hayir,
ucak muhendisligi(ingilizce),3,2.50 - 3.00,hayir,
hukuk,4,2.50 - 3.00,hayir,
endustri muhendisligi(ingilizce)(tam burslu),2,0.00 - 2.50,hayir,
eczacilik,4,2.50 - 3.00,hayir,
endustri muhendisligi(ingilizce),2,3.00 - 3.50,hayir,
hukuk,3,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,3,3.00 - 3.50,hayir,
fizyoterapi ve rehabilitasyon (fakulte)(tam burslu),3,3.00 - 3.50,hayir,
uluslararasi iliskiler(ingilizce),1,3.00 - 3.50,hayir,
endustri muhendisligi(ingilizce),3,2.50 - 3.00,hayir,
biyomuhendislik(ingilizce),4,2.50 - 3.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
yonetim bilisim sistemleri (fakulte),4,3.00 - 3.50,hayir,
iletisim ve tasarim(%50 burslu),3,3.00 - 3.50,hayir,
rehberlik ve psikolojik danismanlik,3,3.00 - 3.50,hayir,
endustri muhendisligi(ingilizce),2,2.50 - 3.00,hayir,
siyaset bilimi ve uluslararasi iliskiler(ingilizce),4,3.00 - 3.50,hayir,
ozel egitim ogretmenligi,4,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,4,3.00 - 3.50,hayir,
endustri urunleri tasarimi,2,2.50 - 3.00,hayir,
isletme,4,3.00 - 3.50,hayir,
isletme(siyasal bilgiler fakultesi),1,3.00 - 3.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
elektronik muhendisligi(ingilizce),2,3.00 - 3.50,hayir,
isletme(ingilizce),1,Not Yok,hayir,
ucak muhendisligi(ingilizce),2,2.50 - 3.00,hayir,
eczacilik,2,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi (teknoloji fakultesi),2,2.50 - 3.00,evet,istanbul teknik universitesi
elektrik-elektronik muhendisligi,2,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,3,2.50 - 3.00,hayir,
elektronik muhendisligi,2,3.00 - 3.50,hayir,
kimya muhendisligi(ingilizce),2,0.00 - 2.50,hayir,
makine muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi(ikinci ogretim),2,3.00 - 3.50,hayir,
imalat muhendisligi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
kimya muhendisligi,3,0.00 - 2.50,hayir,
gazetecilik,3,3.00 - 3.50,hayir,
isletme,3,2.50 - 3.00,hayir,
hukuk(ikinci ogretim),4,0.00 - 2.50,hayir,
petrol ve dogalgaz muhendisligi,2,0.00 - 2.50,hayir,
rehberlik ve psikolojik danismanlik(ingilizce),2,0.00 - 2.50,hayir,
hukuk,3,2.50 - 3.00,hayir,
yonetim bilisim sistemleri (fakulte),3,0.00 - 2.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
makine muhendisligi(ingilizce),3,2.50 - 3.00,hayir,
endustri urunleri tasarimi,4,2.50 - 3.00,hayir,
rehberlik ve psikolojik danismanlik,4,0.00 - 2.50,hayir,
eczacilik,4,0.00 - 2.50,hayir,
hukuk,3,0.00 - 2.50,hayir,
uluslararasi iliskiler,1,Not Yok,hayir,
medya ve iletisim,2,3.50 - 4.00,hayir,
halkla iliskiler ve tanitim,4,2.50 - 3.00,hayir,
makine muhendisligi,3,0.00 - 2.50,hayir,
fen bilgisi ogretmenligi,4,3.00 - 3.50,hayir,
insaat muhendisligi,4,0.00 - 2.50,hayir,
uluslararasi ticaret (fakulte),4,3.00 - 3.50,hayir,
elektronik muhendisligi(ingilizce),2,2.50 - 3.00,hayir,
elektrik muhendisligi(ingilizce),2,0.00 - 2.50,hayir,
hukuk(ikinci ogretim),4,0.00 - 2.50,hayir,
mimarlik(ingilizce),3,3.00 - 3.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
isletme(ingilizce),2,2.50 - 3.00,hayir,
isletme,3,3.00 - 3.50,hayir,
iktisat,4,0.00 - 2.50,hayir,
siyaset bilimi ve kamu yonetimi,4,2.50 - 3.00,hayir,
mimarlik,3,2.50 - 3.00,evet,balikesir universitesi
biyosistem muhendisligi,3,2.50 - 3.00,hayir,
mekatronik muhendisligi,4,0.00 - 2.50,hayir,
gemi insaati ve gemi makineleri muhendisligi,4,2.50 - 3.00,hayir,
insaat muhendisligi,4,2.50 - 3.00,hayir,
hukuk,3,0.00 - 2.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi (teknoloji fakultesi)(ikinci ogretim),4,2.50 - 3.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
isletme,2,3.00 - 3.50,hayir,
kamu yonetimi,2,2.50 - 3.00,hayir,
isletme,4,2.50 - 3.00,hayir,
